transaction_id,customer_id,merchant_id,amount,currency,payment_method,bank,transaction_time,status,failure_reason,checkout_completed,subscription_flag
TXN_000019,CUST_00295,MER_0042,2886.29,INR,UPI,YES,2026-07-26 22:27:00,success,,True,False
TXN_000020,CUST_00325,MER_0020,1646.97,INR,Card,KOTAK,2026-07-24 23:34:00,success,,True,False
TXN_000021,CUST_01518,MER_0020,4655.0,INR,UPI,ICICI,2026-07-01 06:30:00,failed,bank_timeout,False,False
TXN_000022,CUST_01426,MER_0041,3572.73,INR,NetBanking,KOTAK,2026-07-13 02:56:00,success,,True,False
TXN_000023,CUST_00827,MER_0028,3656.92,INR,UPI,ICICI,2026-07-10 23:58:00,success,,True,False
TXN_000024,CUST_00457,MER_0029,5699.69,INR,Card,ICICI,2026-07-19 19:26:00,success,,True,False
TXN_000025,CUST_01858,MER_0001,22197.35,INR,UPI,YES,2026-07-28 14:11:00,success,,True,False
TXN_000026,CUST_00423,MER_0047,3340.69,INR,Card,SBI,2026-07-03 16:38:00,success,,True,False
TXN_000027,CUST_01014,MER_0040,1624.29,INR,Wallet,AXIS,2026-07-15 02:04:00,success,,True,False
TXN_000028,CUST_00298,MER_0036,2391.18,INR,UPI,YES,2026-07-27 16:09:00,failed,bank_declined,True,False
TXN_000029,CUST_01076,MER_0023,1400.0,INR,UPI,KOTAK,2026-07-15 20:03:00,success,,True,False
TXN_000030,CUST_01703,MER_0046,1759.13,INR,Card,ICICI,2026-08-26 10:00:00,success,,True,False
TXN_000031,CUST_00449,MER_0044,1604.76,INR,Card,SBI,2026-08-20 16:07:00,success,,True,False
TXN_000032,CUST_00781,MER_0014,2756.96,INR,UPI,YES,2026-07-06 22:46:00,success,,True,True
TXN_000033,CUST_00537,MER_0039,1264.03,INR,UPI,AXIS,2026-08-01 10:21:00,failed,network_error,False,False
TXN_000034,CUST_01452,MER_0005,2441.01,INR,UPI,HDFC,2026-08-09 07:44:00,failed,bank_timeout,True,False
TXN_000035,CUST_01087,MER_0045,1877.48,INR,NetBanking,KOTAK,2026-08-12 03:33:00,success,,True,False
TXN_000036,CUST_01172,MER_0030,2763.22,INR,Wallet,HDFC,2026-07-07 20:50:00,success,,True,False
TXN_000037,CUST_00773,MER_0036,4722.43,INR,UPI,HDFC,2026-07-11 21:30:00,failed,bank_timeout,True,False
TXN_000038,CUST_01296,MER_0013,1441.6,INR,UPI,AXIS,2026-08-19 00:13:00,failed,bank_declined,True,False
TXN_000039,CUST_01004,MER_0010,831.56,INR,Card,KOTAK,2026-07-27 07:47:00,failed,insufficient_funds,False,False
TXN_000040,CUST_01118,MER_0005,1667.4,INR,UPI,SBI,2026-07-26 05:36:00,success,,True,False
TXN_000041,CUST_01695,MER_0043,4912.37,INR,Wallet,ICICI,2026-08-06 01:58:00,success,,True,False
TXN_000042,CUST_01680,MER_0043,3011.06,INR,NetBanking,SBI,2026-07-27 13:43:00,success,,True,False
TXN_000043,CUST_01247,MER_0020,2849.42,INR,Card,SBI,2026-07-23 00:16:00,success,,True,False
TXN_000044,CUST_00873,MER_0010,4820.91,INR,Card,AXIS,2026-08-11 07:00:00,success,,True,False
TXN_000045,CUST_00521,MER_0042,2186.6,INR,UPI,SBI,2026-08-26 22:08:00,success,,True,True
TXN_000046,CUST_00259,MER_0006,3335.48,INR,UPI,SBI,2026-07-25 04:18:00,success,,True,False
TXN_000047,CUST_00451,MER_0006,2247.16,INR,Card,SBI,2026-08-03 11:37:00,success,,True,True
TXN_000048,CUST_01917,MER_0035,3017.82,INR,Card,ICICI,2026-08-23 10:22:00,success,,True,False
TXN_000049,CUST_01444,MER_0047,1531.18,INR,UPI,SBI,2026-07-17 21:24:00,success,,True,True
TXN_000050,CUST_01760,MER_0042,346.87,INR,Wallet,AXIS,2026-07-20 19:32:00,success,,True,False
TXN_000051,CUST_00614,MER_0048,2192.02,INR,Wallet,KOTAK,2026-08-15 21:25:00,success,,True,False
TXN_000052,CUST_00552,MER_0023,7617.46,INR,UPI,YES,2026-08-20 19:33:00,success,,True,False
TXN_000053,CUST_00626,MER_0048,5120.32,INR,UPI,SBI,2026-08-03 19:52:00,failed,bank_declined,True,True
TXN_000054,CUST_00244,MER_0009,6561.04,INR,UPI,AXIS,2026-07-05 12:36:00,success,,True,False
TXN_000055,CUST_01535,MER_0034,2619.99,INR,Card,SBI,2026-08-07 17:01:00,success,,True,False
TXN_000056,CUST_01714,MER_0032,2857.93,INR,Card,AXIS,2026-08-22 05:33:00,failed,authentication_failure,True,True
TXN_000057,CUST_00397,MER_0048,1895.32,INR,UPI,KOTAK,2026-07-24 04:03:00,success,,True,False
TXN_000058,CUST_00174,MER_0024,3994.27,INR,Card,HDFC,2026-08-03 05:13:00,failed,insufficient_funds,True,False
TXN_000059,CUST_00417,MER_0004,2182.97,INR,Wallet,SBI,2026-08-26 09:40:00,failed,insufficient_funds,True,True
TXN_000060,CUST_01490,MER_0020,2441.63,INR,Card,SBI,2026-08-20 12:52:00,success,,True,False
TXN_000061,CUST_00536,MER_0009,3948.0,INR,Card,KOTAK,2026-08-10 15:43:00,success,,True,False
TXN_000062,CUST_01533,MER_0047,768.87,INR,UPI,KOTAK,2026-08-12 21:17:00,success,,True,False
TXN_000063,CUST_01592,MER_0022,388.8,INR,Card,YES,2026-08-26 15:07:00,success,,True,False
TXN_000064,CUST_00385,MER_0011,1571.16,INR,Card,KOTAK,2026-08-10 10:32:00,success,,True,True
TXN_000065,CUST_00240,MER_0006,919.13,INR,UPI,KOTAK,2026-08-04 19:41:00,success,,True,False
TXN_000066,CUST_00955,MER_0013,1625.37,INR,Card,KOTAK,2026-07-02 04:06:00,success,,True,False
TXN_000067,CUST_01591,MER_0018,2168.47,INR,Card,ICICI,2026-08-23 19:46:00,success,,True,False
TXN_000068,CUST_00467,MER_0021,1698.33,INR,UPI,HDFC,2026-08-01 00:47:00,success,,True,True
TXN_000069,CUST_01851,MER_0034,7800.74,INR,UPI,SBI,2026-07-06 03:54:00,success,,True,False
TXN_000070,CUST_01711,MER_0010,3169.71,INR,UPI,HDFC,2026-07-10 10:28:00,success,,True,False
TXN_000071,CUST_01913,MER_0040,3103.79,INR,Wallet,ICICI,2026-07-02 01:59:00,failed,bank_timeout,True,False
TXN_000072,CUST_00209,MER_0039,981.35,INR,Card,AXIS,2026-08-02 17:13:00,success,,True,True
TXN_000073,CUST_00315,MER_0021,5604.3,INR,UPI,AXIS,2026-07-05 16:31:00,failed,bank_declined,False,True
TXN_000074,CUST_00940,MER_0009,4172.98,INR,UPI,AXIS,2026-07-29 02:51:00,success,,True,False
TXN_000075,CUST_00459,MER_0010,1035.37,INR,UPI,ICICI,2026-08-20 08:22:00,success,,True,False
TXN_000076,CUST_00581,MER_0036,704.15,INR,UPI,HDFC,2026-08-22 15:51:00,success,,True,False
TXN_000077,CUST_00249,MER_0011,4695.27,INR,UPI,AXIS,2026-07-18 20:24:00,failed,bank_declined,False,False
TXN_000078,CUST_00575,MER_0035,1186.02,INR,Card,SBI,2026-07-06 13:29:00,success,,True,False
TXN_000079,CUST_00078,MER_0036,1217.15,INR,Wallet,AXIS,2026-07-14 20:50:00,success,,True,False
TXN_000080,CUST_00421,MER_0044,6005.0,INR,Wallet,YES,2026-07-17 15:27:00,failed,bank_declined,True,False
TXN_000081,CUST_01747,MER_0001,9082.81,INR,Card,AXIS,2026-08-05 23:46:00,success,,True,False
TXN_000082,CUST_00465,MER_0006,1187.38,INR,Card,YES,2026-08-11 02:38:00,success,,True,False
TXN_000083,CUST_00905,MER_0043,4067.21,INR,UPI,HDFC,2026-07-23 12:50:00,success,,True,False
TXN_000084,CUST_01143,MER_0050,1876.39,INR,NetBanking,HDFC,2026-07-08 15:47:00,success,,True,True
TXN_000085,CUST_01802,MER_0015,3954.26,INR,Card,SBI,2026-08-13 12:12:00,failed,bank_declined,True,False
TXN_000086,CUST_01197,MER_0046,2142.58,INR,Card,ICICI,2026-07-01 06:41:00,success,,True,False
TXN_000087,CUST_01730,MER_0018,2521.82,INR,Card,AXIS,2026-07-11 18:50:00,failed,bank_declined,True,False
TXN_000088,CUST_00343,MER_0017,4414.54,INR,Wallet,ICICI,2026-08-26 17:51:00,success,,True,False
TXN_000089,CUST_00710,MER_0044,1618.78,INR,UPI,YES,2026-08-13 18:11:00,success,,True,False
TXN_000090,CUST_01831,MER_0030,2032.7,INR,UPI,AXIS,2026-08-11 22:58:00,success,,True,True
TXN_000091,CUST_01567,MER_0021,1101.6,INR,UPI,AXIS,2026-07-18 04:09:00,success,,True,False
TXN_000092,CUST_01570,MER_0034,314.23,INR,Card,YES,2026-07-15 01:36:00,failed,insufficient_funds,True,True
TXN_000093,CUST_00943,MER_0015,16816.11,INR,Wallet,AXIS,2026-07-05 08:31:00,failed,network_error,True,False
TXN_000094,CUST_00042,MER_0022,2403.28,INR,NetBanking,ICICI,2026-07-07 16:09:00,failed,bank_timeout,True,False
TXN_000095,CUST_01797,MER_0006,2484.86,INR,Wallet,HDFC,2026-07-25 10:41:00,success,,True,False
TXN_000096,CUST_01325,MER_0009,3780.82,INR,UPI,AXIS,2026-07-04 10:17:00,success,,True,False
TXN_000097,CUST_01002,MER_0044,948.94,INR,UPI,HDFC,2026-07-19 13:01:00,success,,True,False
TXN_000098,CUST_01775,MER_0015,5951.85,INR,NetBanking,YES,2026-08-09 00:21:00,success,,True,False
TXN_000099,CUST_00424,MER_0040,4325.6,INR,Card,SBI,2026-08-11 23:03:00,success,,True,False
TXN_000100,CUST_01188,MER_0038,4335.31,INR,UPI,HDFC,2026-07-01 20:18:00,success,,True,False
TXN_000101,CUST_01389,MER_0013,3466.08,INR,NetBanking,ICICI,2026-08-10 17:22:00,failed,network_error,True,False
TXN_000102,CUST_01752,MER_0028,4180.93,INR,Card,YES,2026-08-18 12:12:00,success,,True,False
TXN_000103,CUST_00673,MER_0010,3918.45,INR,UPI,SBI,2026-08-08 11:42:00,failed,authentication_failure,True,False
TXN_000104,CUST_00619,MER_0004,1542.44,INR,UPI,ICICI,2026-07-13 21:51:00,success,,True,False
TXN_000105,CUST_01301,MER_0013,2647.8,INR,Card,YES,2026-08-14 15:57:00,success,,True,False
TXN_000106,CUST_01436,MER_0037,8427.17,INR,Wallet,KOTAK,2026-07-20 14:17:00,success,,True,True
TXN_000107,CUST_01946,MER_0003,905.71,INR,UPI,HDFC,2026-08-10 07:36:00,success,,True,False
TXN_000108,CUST_01697,MER_0016,754.44,INR,UPI,SBI,2026-08-21 12:49:00,failed,bank_timeout,False,False
TXN_000109,CUST_01183,MER_0013,2542.01,INR,Card,SBI,2026-07-03 01:00:00,failed,insufficient_funds,True,False
TXN_000110,CUST_00981,MER_0012,2966.57,INR,NetBanking,HDFC,2026-07-02 23:07:00,failed,bank_declined,False,False
TXN_000111,CUST_00232,MER_0011,8037.64,INR,Wallet,KOTAK,2026-08-26 14:48:00,success,,True,True
TXN_000112,CUST_01756,MER_0009,678.09,INR,Card,ICICI,2026-08-04 12:54:00,success,,True,False
TXN_000113,CUST_00732,MER_0041,1257.9,INR,UPI,HDFC,2026-08-18 21:01:00,success,,True,False
TXN_000114,CUST_01735,MER_0010,2247.1,INR,UPI,HDFC,2026-08-10 09:33:00,success,,True,False
TXN_000115,CUST_00198,MER_0032,655.53,INR,UPI,HDFC,2026-08-20 16:03:00,success,,True,False
TXN_000116,CUST_01956,MER_0033,2120.31,INR,UPI,YES,2026-08-18 17:22:00,success,,True,False
TXN_000117,CUST_01846,MER_0021,9220.42,INR,Card,KOTAK,2026-08-14 16:29:00,success,,True,False
TXN_000118,CUST_01982,MER_0038,2481.73,INR,UPI,KOTAK,2026-08-11 01:14:00,failed,authentication_failure,True,False
TXN_000119,CUST_01136,MER_0024,890.58,INR,UPI,HDFC,2026-07-09 02:52:00,failed,network_error,True,True
TXN_000120,CUST_01428,MER_0024,1807.76,INR,NetBanking,SBI,2026-07-18 13:03:00,failed,network_error,True,True
TXN_000121,CUST_01241,MER_0015,6804.33,INR,UPI,HDFC,2026-07-24 01:18:00,success,,True,False
TXN_000122,CUST_00647,MER_0022,3812.93,INR,UPI,YES,2026-08-22 23:19:00,success,,True,True
TXN_000123,CUST_00044,MER_0009,1003.08,INR,Wallet,YES,2026-08-17 18:32:00,success,,True,True
TXN_000124,CUST_01297,MER_0019,2972.63,INR,NetBanking,AXIS,2026-07-26 19:47:00,success,,True,True
TXN_000125,CUST_00328,MER_0033,3635.77,INR,Wallet,ICICI,2026-08-25 13:34:00,failed,bank_declined,True,False
TXN_000126,CUST_01505,MER_0022,8642.37,INR,Card,SBI,2026-08-24 06:24:00,success,,True,False
TXN_000127,CUST_00938,MER_0014,1083.47,INR,UPI,KOTAK,2026-07-02 12:47:00,failed,authentication_failure,True,False
TXN_000128,CUST_00426,MER_0044,892.42,INR,Card,YES,2026-08-04 10:13:00,success,,True,True
TXN_000129,CUST_00695,MER_0003,2023.91,INR,Wallet,ICICI,2026-07-22 19:23:00,success,,True,False
TXN_000130,CUST_01149,MER_0037,3544.27,INR,NetBanking,AXIS,2026-07-14 13:20:00,failed,network_error,True,False
TXN_000131,CUST_00708,MER_0045,2296.72,INR,Card,HDFC,2026-07-12 06:47:00,failed,network_error,True,False
TXN_000132,CUST_01458,MER_0011,2755.64,INR,UPI,AXIS,2026-07-26 05:21:00,success,,True,True
TXN_000133,CUST_01439,MER_0031,1251.23,INR,Card,AXIS,2026-08-25 07:02:00,failed,insufficient_funds,True,False
TXN_000134,CUST_01931,MER_0013,674.43,INR,Card,YES,2026-07-30 09:24:00,failed,network_error,True,False
TXN_000135,CUST_01747,MER_0032,12318.84,INR,UPI,KOTAK,2026-07-03 03:06:00,failed,authentication_failure,True,False
TXN_000136,CUST_00449,MER_0040,2096.38,INR,Card,AXIS,2026-07-25 22:29:00,failed,expired_card,True,False
TXN_000137,CUST_01425,MER_0035,2112.63,INR,UPI,HDFC,2026-08-14 07:24:00,success,,True,False
TXN_000138,CUST_01578,MER_0036,7319.36,INR,UPI,SBI,2026-07-05 03:35:00,success,,True,False
TXN_000139,CUST_01328,MER_0029,415.93,INR,UPI,ICICI,2026-08-02 01:31:00,success,,True,True
TXN_000140,CUST_01203,MER_0044,8322.74,INR,Card,AXIS,2026-07-22 13:37:00,success,,True,False
TXN_000141,CUST_01819,MER_0017,781.2,INR,UPI,ICICI,2026-07-21 22:52:00,success,,True,False
TXN_000142,CUST_01168,MER_0006,1971.75,INR,Card,ICICI,2026-08-15 14:56:00,failed,bank_declined,True,True
TXN_000143,CUST_02000,MER_0026,3908.24,INR,UPI,YES,2026-08-18 00:22:00,success,,True,True
TXN_000144,CUST_01710,MER_0012,679.6,INR,UPI,HDFC,2026-08-13 18:10:00,failed,bank_declined,True,False
TXN_000145,CUST_01683,MER_0004,12325.77,INR,Card,HDFC,2026-08-19 12:52:00,success,,True,False
TXN_000146,CUST_01211,MER_0016,820.13,INR,UPI,HDFC,2026-07-27 00:57:00,success,,True,False
TXN_000147,CUST_00431,MER_0044,2840.58,INR,Card,ICICI,2026-08-26 03:17:00,success,,True,False
TXN_000148,CUST_00886,MER_0047,1437.15,INR,UPI,AXIS,2026-08-02 03:40:00,success,,True,False
TXN_000149,CUST_01242,MER_0013,3431.35,INR,Card,KOTAK,2026-07-26 14:36:00,failed,insufficient_funds,True,True
TXN_000150,CUST_00788,MER_0005,1460.9,INR,Card,SBI,2026-08-11 21:17:00,success,,True,True
TXN_000151,CUST_00717,MER_0027,3605.8,INR,UPI,KOTAK,2026-08-01 03:28:00,success,,True,False
TXN_000152,CUST_01903,MER_0037,10336.93,INR,UPI,HDFC,2026-08-08 11:04:00,success,,True,False
TXN_000153,CUST_01606,MER_0050,2094.93,INR,Card,SBI,2026-07-12 21:41:00,success,,True,False
TXN_000154,CUST_00663,MER_0043,4340.77,INR,UPI,SBI,2026-07-02 20:46:00,success,,True,False
TXN_000155,CUST_01970,MER_0041,867.3,INR,Card,KOTAK,2026-08-07 00:27:00,failed,bank_declined,False,False
TXN_000156,CUST_01780,MER_0019,3561.46,INR,UPI,AXIS,2026-07-14 21:54:00,failed,authentication_failure,True,False
TXN_000157,CUST_00288,MER_0003,3243.77,INR,Card,AXIS,2026-08-11 09:50:00,success,,True,False
TXN_000158,CUST_00131,MER_0022,1899.89,INR,UPI,ICICI,2026-08-04 01:50:00,success,,True,False
TXN_000159,CUST_00326,MER_0044,2439.22,INR,Card,ICICI,2026-08-08 13:01:00,success,,True,True
TXN_000160,CUST_01700,MER_0001,897.55,INR,UPI,AXIS,2026-07-05 06:34:00,failed,authentication_failure,False,True
TXN_000161,CUST_01162,MER_0047,4943.69,INR,UPI,ICICI,2026-08-16 06:44:00,failed,bank_timeout,True,False
TXN_000162,CUST_01966,MER_0024,1675.67,INR,UPI,ICICI,2026-07-31 15:03:00,success,,True,False
TXN_000163,CUST_01403,MER_0049,3019.07,INR,UPI,AXIS,2026-07-02 13:01:00,success,,True,True
TXN_000164,CUST_00339,MER_0020,1720.94,INR,Card,ICICI,2026-08-05 05:59:00,failed,expired_card,True,False
TXN_000165,CUST_01334,MER_0010,13092.27,INR,NetBanking,HDFC,2026-07-01 17:05:00,success,,True,False
TXN_000166,CUST_00957,MER_0027,2002.96,INR,Wallet,YES,2026-07-24 13:06:00,success,,True,False
TXN_000167,CUST_00992,MER_0005,1832.3,INR,UPI,HDFC,2026-07-08 13:08:00,success,,True,True
TXN_000168,CUST_00590,MER_0028,1453.84,INR,Wallet,YES,2026-07-23 17:23:00,success,,True,False
TXN_000169,CUST_00697,MER_0045,4426.45,INR,UPI,AXIS,2026-07-28 08:25:00,failed,bank_timeout,True,False
TXN_000170,CUST_00017,MER_0044,1451.72,INR,UPI,ICICI,2026-08-08 19:44:00,success,,True,False
TXN_000171,CUST_00171,MER_0008,7023.68,INR,Card,YES,2026-08-15 13:07:00,success,,True,False
TXN_000172,CUST_00466,MER_0006,7598.32,INR,Card,ICICI,2026-08-26 14:26:00,failed,insufficient_funds,True,False
TXN_000173,CUST_01766,MER_0027,548.27,INR,Card,YES,2026-08-25 03:02:00,failed,expired_card,True,False
TXN_000174,CUST_01945,MER_0011,1411.34,INR,NetBanking,HDFC,2026-07-07 02:23:00,success,,True,False
TXN_000175,CUST_00319,MER_0042,4593.97,INR,UPI,AXIS,2026-07-11 06:01:00,success,,True,False
TXN_000176,CUST_00757,MER_0032,504.68,INR,UPI,HDFC,2026-07-29 19:21:00,success,,True,True
TXN_000177,CUST_00999,MER_0048,4984.45,INR,UPI,ICICI,2026-07-17 13:57:00,success,,True,False
TXN_000178,CUST_00049,MER_0041,926.17,INR,UPI,SBI,2026-07-06 12:53:00,failed,bank_timeout,True,False
TXN_000179,CUST_01658,MER_0001,2468.63,INR,Card,HDFC,2026-07-07 07:12:00,success,,True,True
TXN_000180,CUST_01923,MER_0034,1137.8,INR,Wallet,SBI,2026-08-01 16:09:00,success,,True,False
TXN_000181,CUST_01895,MER_0024,1762.29,INR,Card,SBI,2026-07-21 08:10:00,success,,True,False
TXN_000182,CUST_01745,MER_0040,4226.18,INR,UPI,SBI,2026-08-25 11:16:00,success,,True,True
TXN_000183,CUST_01510,MER_0045,2656.37,INR,UPI,ICICI,2026-07-02 20:32:00,failed,network_error,False,False
TXN_000184,CUST_01447,MER_0001,11862.68,INR,Wallet,SBI,2026-07-02 21:37:00,success,,True,True
TXN_000185,CUST_01011,MER_0048,698.27,INR,UPI,AXIS,2026-07-15 20:42:00,success,,True,False
TXN_000186,CUST_00209,MER_0006,8899.68,INR,UPI,AXIS,2026-08-12 23:52:00,success,,True,False
TXN_000187,CUST_01355,MER_0039,2653.1,INR,UPI,ICICI,2026-08-25 17:45:00,success,,True,False
TXN_000188,CUST_01408,MER_0033,1189.12,INR,UPI,AXIS,2026-08-20 02:58:00,success,,True,False
TXN_000189,CUST_01800,MER_0030,841.97,INR,UPI,AXIS,2026-07-08 16:27:00,success,,True,False
TXN_000190,CUST_01443,MER_0011,2097.92,INR,Card,YES,2026-08-14 03:03:00,failed,network_error,True,False
TXN_000191,CUST_01259,MER_0031,2203.85,INR,Wallet,YES,2026-07-08 22:42:00,failed,network_error,True,True
TXN_000192,CUST_01067,MER_0039,764.38,INR,UPI,SBI,2026-07-25 13:01:00,success,,True,False
TXN_000193,CUST_01620,MER_0028,2417.11,INR,NetBanking,ICICI,2026-07-17 03:56:00,failed,bank_timeout,True,False
TXN_000194,CUST_01822,MER_0037,3264.64,INR,Card,SBI,2026-07-04 20:08:00,success,,True,False
TXN_000195,CUST_00268,MER_0021,4961.73,INR,Card,YES,2026-08-20 04:18:00,success,,True,False
TXN_000196,CUST_01548,MER_0007,1743.05,INR,UPI,KOTAK,2026-08-24 15:43:00,success,,True,False
TXN_000197,CUST_01818,MER_0015,303.88,INR,UPI,AXIS,2026-07-10 20:31:00,failed,bank_declined,True,False
TXN_000198,CUST_00982,MER_0018,3461.27,INR,Wallet,YES,2026-08-06 16:19:00,success,,True,False
TXN_000199,CUST_00658,MER_0046,3372.59,INR,Wallet,HDFC,2026-08-21 11:22:00,failed,bank_declined,True,False
TXN_000200,CUST_01073,MER_0012,1036.04,INR,NetBanking,YES,2026-07-26 10:12:00,success,,True,False
TXN_000201,CUST_00422,MER_0011,4205.6,INR,Wallet,KOTAK,2026-07-26 11:31:00,success,,True,False
TXN_000202,CUST_01719,MER_0049,6336.02,INR,UPI,HDFC,2026-08-03 09:39:00,failed,authentication_failure,True,False
TXN_000203,CUST_00332,MER_0046,3151.78,INR,UPI,YES,2026-07-11 19:42:00,failed,bank_declined,True,True
TXN_000204,CUST_01124,MER_0024,2286.51,INR,Card,KOTAK,2026-07-07 23:09:00,success,,True,False
TXN_000205,CUST_00175,MER_0028,3223.24,INR,Card,ICICI,2026-07-04 03:16:00,success,,True,False
TXN_000206,CUST_01671,MER_0004,1652.79,INR,UPI,KOTAK,2026-08-11 11:33:00,success,,True,False
TXN_000207,CUST_01332,MER_0047,1421.45,INR,UPI,HDFC,2026-07-08 08:13:00,success,,True,False
TXN_000208,CUST_01154,MER_0012,2508.2,INR,Card,AXIS,2026-08-19 23:36:00,success,,True,False
TXN_000209,CUST_01145,MER_0050,1022.7,INR,UPI,YES,2026-07-25 09:23:00,success,,True,False
TXN_000210,CUST_01515,MER_0008,1023.86,INR,UPI,HDFC,2026-08-01 21:53:00,success,,True,False
TXN_000211,CUST_01123,MER_0038,4202.77,INR,Card,KOTAK,2026-07-31 09:20:00,success,,True,True
TXN_000212,CUST_01930,MER_0012,973.57,INR,UPI,YES,2026-08-14 14:48:00,failed,bank_timeout,True,False
TXN_000213,CUST_01975,MER_0034,3533.6,INR,UPI,KOTAK,2026-08-23 19:57:00,success,,True,False
TXN_000214,CUST_00204,MER_0008,613.61,INR,Card,ICICI,2026-08-12 04:00:00,failed,expired_card,True,False
TXN_000215,CUST_01248,MER_0006,6344.14,INR,Card,HDFC,2026-07-06 04:15:00,success,,True,False
TXN_000216,CUST_00329,MER_0011,1113.28,INR,UPI,YES,2026-07-01 08:28:00,success,,True,False
TXN_000217,CUST_01726,MER_0019,1683.24,INR,Card,AXIS,2026-07-09 19:41:00,success,,True,False
TXN_000218,CUST_01271,MER_0023,3532.1,INR,Card,KOTAK,2026-07-14 23:28:00,failed,bank_declined,True,True
TXN_000219,CUST_01800,MER_0036,1995.74,INR,UPI,SBI,2026-07-18 04:23:00,success,,True,False
TXN_000220,CUST_01886,MER_0017,1513.22,INR,UPI,YES,2026-07-11 13:39:00,success,,True,False
TXN_000221,CUST_01814,MER_0028,7615.16,INR,Wallet,ICICI,2026-08-04 06:57:00,failed,bank_declined,False,False
TXN_000222,CUST_01135,MER_0011,5340.56,INR,UPI,ICICI,2026-07-21 14:48:00,success,,True,False
TXN_000223,CUST_01487,MER_0005,2613.0,INR,UPI,KOTAK,2026-07-08 23:20:00,success,,True,True
TXN_000224,CUST_00746,MER_0006,1278.43,INR,UPI,SBI,2026-08-19 09:19:00,failed,bank_declined,True,True
TXN_000225,CUST_00002,MER_0038,3707.12,INR,NetBanking,AXIS,2026-07-07 18:03:00,success,,True,False
TXN_000226,CUST_00821,MER_0036,3410.86,INR,UPI,HDFC,2026-07-04 05:49:00,success,,True,False
TXN_000227,CUST_00290,MER_0023,7489.66,INR,NetBanking,YES,2026-08-20 18:08:00,success,,True,False
TXN_000228,CUST_01132,MER_0031,4106.64,INR,Card,SBI,2026-07-01 23:26:00,success,,True,True
TXN_000229,CUST_01524,MER_0010,733.29,INR,UPI,YES,2026-07-18 01:48:00,success,,True,False
TXN_000230,CUST_00147,MER_0046,5662.15,INR,Card,YES,2026-08-08 14:16:00,success,,True,True
TXN_000231,CUST_01879,MER_0030,1098.34,INR,Card,SBI,2026-07-28 17:46:00,success,,True,False
TXN_000232,CUST_01985,MER_0015,1795.11,INR,UPI,HDFC,2026-07-20 13:52:00,success,,True,False
TXN_000233,CUST_01607,MER_0006,2981.44,INR,UPI,ICICI,2026-07-06 05:38:00,success,,True,True
TXN_000234,CUST_00613,MER_0036,12046.55,INR,Wallet,HDFC,2026-07-28 23:06:00,success,,True,False
TXN_000235,CUST_01214,MER_0032,29376.05,INR,Card,YES,2026-08-26 18:10:00,success,,True,False
TXN_000236,CUST_00060,MER_0013,3965.47,INR,NetBanking,YES,2026-07-01 14:30:00,success,,True,False
TXN_000237,CUST_00661,MER_0048,2107.89,INR,Card,KOTAK,2026-08-13 20:47:00,failed,insufficient_funds,True,False
TXN_000238,CUST_00815,MER_0033,4964.78,INR,UPI,HDFC,2026-07-28 16:54:00,success,,True,False
