transaction_id,amount,failure_reason,attempt_number,root_cause,cause_category,nature,confidence,recommended_direction
TXN_000274,827.05,bank_declined,1,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment
TXN_000275,5944.08,authentication_failure,2,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action
TXN_000280,6559.37,authentication_failure,3,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.91,customer_action
TXN_000286,1830.21,bank_timeout,2,Bank or issuer timeout,BANK_OR_NETWORK,potentially_persistent,0.92,retry
TXN_000289,1128.89,bank_declined,1,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment
TXN_000296,4974.89,bank_timeout,2,Bank or issuer timeout,BANK_OR_NETWORK,potentially_persistent,0.92,retry
TXN_000297,557.27,authentication_failure,1,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action
TXN_000301,765.31,authentication_failure,1,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action
TXN_000311,862.93,network_error,1,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry
TXN_000312,4670.95,authentication_failure,1,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action
TXN_000313,4698.61,bank_timeout,1,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry
TXN_000314,994.23,network_error,2,Payment network connectivity failure,BANK_OR_NETWORK,potentially_persistent,0.9,retry
TXN_000315,5508.95,authentication_failure,2,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action
TXN_000320,5641.21,network_error,1,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry
TXN_000321,2031.41,bank_declined,2,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment
TXN_000322,717.03,network_error,1,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry
TXN_000328,1079.52,authentication_failure,2,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action
TXN_000329,2122.85,bank_declined,1,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment
TXN_000334,675.02,bank_timeout,1,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry
TXN_000336,868.0,bank_declined,1,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment
TXN_000337,1632.1,network_error,1,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry
TXN_000343,1254.56,bank_timeout,1,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry
TXN_000352,4421.11,bank_timeout,2,Bank or issuer timeout,BANK_OR_NETWORK,potentially_persistent,0.92,retry
TXN_000355,4963.33,bank_declined,2,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment
TXN_000358,2064.31,bank_declined,2,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment
TXN_000359,16172.99,bank_declined,1,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment
TXN_000362,4347.04,bank_timeout,1,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry
TXN_000363,7805.69,bank_timeout,1,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry
TXN_000371,1790.58,bank_declined,1,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment
TXN_000372,2490.68,insufficient_funds,1,Insufficient customer funds,CUSTOMER_FUNDS,potentially_persistent,0.94,alternate_payment
TXN_000378,4677.71,bank_timeout,1,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry
TXN_000381,3203.63,expired_card,1,Payment card has expired,PAYMENT_INSTRUMENT,persistent,0.98,alternate_payment
TXN_000382,5295.16,authentication_failure,1,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action
TXN_000387,6606.07,bank_timeout,1,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry
TXN_000391,3786.16,network_error,1,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry
TXN_000395,413.46,bank_timeout,1,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry
TXN_000397,2807.84,authentication_failure,2,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action
TXN_000401,3590.87,bank_timeout,1,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry
TXN_000403,12647.75,bank_declined,1,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment
TXN_000405,1163.16,bank_timeout,1,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry
TXN_000413,1383.45,authentication_failure,3,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.91,customer_action
TXN_000415,1906.86,bank_timeout,1,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry
TXN_000416,3450.82,bank_timeout,1,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry
TXN_000420,686.23,bank_declined,1,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment
TXN_000423,1218.49,authentication_failure,2,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action
TXN_000430,1164.05,bank_timeout,2,Bank or issuer timeout,BANK_OR_NETWORK,potentially_persistent,0.92,retry
TXN_000431,1192.4,bank_timeout,1,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry
TXN_000435,2022.93,network_error,1,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry
TXN_000444,9965.62,bank_declined,2,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment
TXN_000445,3332.0,insufficient_funds,2,Insufficient customer funds,CUSTOMER_FUNDS,potentially_persistent,0.94,alternate_payment
TXN_000446,6495.44,network_error,1,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry
TXN_000452,6567.91,bank_timeout,1,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry
TXN_000463,1468.08,insufficient_funds,1,Insufficient customer funds,CUSTOMER_FUNDS,potentially_persistent,0.94,alternate_payment
TXN_000465,2105.65,bank_timeout,1,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry
TXN_000468,6767.59,expired_card,2,Payment card has expired,PAYMENT_INSTRUMENT,persistent,0.98,alternate_payment
TXN_000473,4165.84,bank_timeout,1,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry
TXN_000474,2606.06,bank_declined,1,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment
TXN_000475,7821.71,authentication_failure,1,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action
TXN_000479,3387.37,bank_declined,1,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment
TXN_000481,4265.53,bank_declined,2,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment
TXN_000482,1663.05,insufficient_funds,1,Insufficient customer funds,CUSTOMER_FUNDS,potentially_persistent,0.94,alternate_payment
TXN_000487,5751.61,expired_card,1,Payment card has expired,PAYMENT_INSTRUMENT,persistent,0.98,alternate_payment
TXN_000488,5182.53,bank_timeout,1,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry
TXN_000490,10378.02,bank_declined,1,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment
TXN_000491,1238.79,bank_timeout,1,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry
TXN_000492,1020.75,bank_timeout,1,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry
TXN_000494,792.78,bank_declined,2,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment
TXN_000495,5023.2,insufficient_funds,1,Insufficient customer funds,CUSTOMER_FUNDS,potentially_persistent,0.94,alternate_payment
TXN_000496,8229.06,bank_timeout,1,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry
TXN_000498,1441.92,authentication_failure,1,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action
TXN_000499,1018.87,insufficient_funds,1,Insufficient customer funds,CUSTOMER_FUNDS,potentially_persistent,0.94,alternate_payment
TXN_000508,4810.42,bank_declined,1,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment
TXN_000516,507.7,authentication_failure,2,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action
TXN_000518,2634.04,bank_declined,1,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment
TXN_000521,1875.15,bank_declined,1,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment
TXN_000522,3190.86,bank_declined,3,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.94,alternate_payment
TXN_000523,3552.53,bank_declined,1,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment
TXN_000524,4471.28,bank_declined,2,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment
TXN_000527,2365.05,bank_declined,1,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment
TXN_000533,7066.68,bank_timeout,2,Bank or issuer timeout,BANK_OR_NETWORK,potentially_persistent,0.92,retry
TXN_000536,5535.67,bank_declined,2,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment
TXN_000545,796.76,bank_timeout,1,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry
TXN_000548,4955.16,network_error,1,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry
TXN_000552,1046.15,expired_card,1,Payment card has expired,PAYMENT_INSTRUMENT,persistent,0.98,alternate_payment
TXN_000555,5481.7,network_error,1,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry
TXN_000558,6533.51,authentication_failure,1,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action
TXN_000559,3828.79,network_error,1,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry
TXN_000561,1595.95,network_error,1,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry
TXN_000567,2527.06,bank_declined,1,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment
TXN_000569,1925.06,authentication_failure,1,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action
TXN_000570,971.84,bank_timeout,2,Bank or issuer timeout,BANK_OR_NETWORK,potentially_persistent,0.92,retry
TXN_000572,9940.58,insufficient_funds,1,Insufficient customer funds,CUSTOMER_FUNDS,potentially_persistent,0.94,alternate_payment
TXN_000574,2163.17,authentication_failure,1,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action
TXN_000577,1330.59,authentication_failure,2,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action
TXN_000578,4016.51,authentication_failure,1,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action
TXN_000581,1472.53,authentication_failure,1,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action
TXN_000586,2085.63,network_error,1,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry
TXN_000591,1943.22,network_error,1,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry
TXN_000592,2011.83,bank_declined,1,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment
TXN_000596,932.1,bank_declined,1,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment
TXN_000600,865.33,bank_declined,1,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment
TXN_000601,2821.83,bank_timeout,1,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry
TXN_000602,1562.53,network_error,1,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry
TXN_000606,3860.31,bank_declined,2,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment
TXN_000611,3228.72,insufficient_funds,1,Insufficient customer funds,CUSTOMER_FUNDS,potentially_persistent,0.94,alternate_payment
TXN_000616,5076.17,insufficient_funds,2,Insufficient customer funds,CUSTOMER_FUNDS,potentially_persistent,0.94,alternate_payment
TXN_000618,1467.85,bank_timeout,2,Bank or issuer timeout,BANK_OR_NETWORK,potentially_persistent,0.92,retry
TXN_000623,3277.99,network_error,1,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry
TXN_000630,9540.34,insufficient_funds,1,Insufficient customer funds,CUSTOMER_FUNDS,potentially_persistent,0.94,alternate_payment
TXN_000631,2322.49,bank_declined,1,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment
TXN_000635,8521.19,network_error,1,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry
TXN_000640,14400.59,network_error,1,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry
TXN_000641,3091.77,bank_declined,1,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment
TXN_000642,7954.93,insufficient_funds,1,Insufficient customer funds,CUSTOMER_FUNDS,potentially_persistent,0.94,alternate_payment
TXN_000645,1523.71,authentication_failure,3,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.91,customer_action
TXN_000647,1585.57,bank_timeout,1,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry
TXN_000653,1374.25,network_error,1,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry
TXN_000655,2850.6,authentication_failure,2,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action
TXN_000657,1010.47,bank_declined,1,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment
TXN_000658,3384.24,bank_declined,1,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment
TXN_000659,1247.79,authentication_failure,1,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action
TXN_000663,3521.74,bank_declined,1,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment
TXN_000669,3083.3,bank_timeout,2,Bank or issuer timeout,BANK_OR_NETWORK,potentially_persistent,0.92,retry
TXN_000671,447.39,bank_declined,2,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment
TXN_000674,1636.34,network_error,1,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry
TXN_000682,3665.11,bank_timeout,1,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry
TXN_000695,1702.73,network_error,1,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry
TXN_000696,1590.39,authentication_failure,1,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action
TXN_000701,2120.8,network_error,1,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry
TXN_000702,2639.79,bank_timeout,1,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry
TXN_000705,2088.59,authentication_failure,3,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.91,customer_action
TXN_000707,2986.31,network_error,1,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry
TXN_000710,5368.8,bank_declined,1,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment
TXN_000711,1695.22,bank_declined,2,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment
TXN_000716,2031.16,network_error,2,Payment network connectivity failure,BANK_OR_NETWORK,potentially_persistent,0.9,retry
TXN_000721,2095.6,authentication_failure,2,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action
TXN_000727,6404.75,network_error,1,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry
TXN_000735,1007.24,network_error,2,Payment network connectivity failure,BANK_OR_NETWORK,potentially_persistent,0.9,retry
TXN_000747,816.76,network_error,1,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry
TXN_000753,2863.64,authentication_failure,1,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action
TXN_000754,6753.95,bank_timeout,1,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry
TXN_000756,649.43,bank_timeout,1,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry
TXN_000758,2629.89,bank_timeout,1,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry
TXN_000759,16803.48,authentication_failure,1,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action
TXN_000766,903.79,network_error,1,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry
TXN_000767,2155.53,authentication_failure,1,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action
TXN_000771,3809.46,bank_declined,1,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment
TXN_000772,3600.5,bank_declined,1,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment
TXN_000776,7048.97,authentication_failure,2,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action
TXN_000779,5601.01,expired_card,1,Payment card has expired,PAYMENT_INSTRUMENT,persistent,0.98,alternate_payment
TXN_000784,1684.92,bank_declined,1,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment
TXN_000791,2508.78,bank_timeout,1,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry
TXN_000792,1441.44,network_error,1,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry
TXN_000793,1112.28,insufficient_funds,1,Insufficient customer funds,CUSTOMER_FUNDS,potentially_persistent,0.94,alternate_payment
TXN_000800,2767.16,network_error,1,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry
