attempt_id,transaction_id,attempt_number,attempt_time,payment_method,failure_reason,response_code,processing_time_ms,status
ATT_0000035,TXN_000087,1,2026-07-11 19:00:00,Card,bank_declined,BANK_DECLINED,1200,failed
ATT_0000036,TXN_000092,1,2026-07-15 01:38:00,Card,insufficient_funds,INSUFFICIENT_FUNDS,4834,failed
ATT_0000037,TXN_000093,1,2026-07-05 08:38:00,Wallet,network_error,NETWORK_ERROR,346,failed
ATT_0000038,TXN_000094,1,2026-07-07 16:11:00,NetBanking,bank_timeout,TIMEOUT,3742,failed
ATT_0000039,TXN_000094,2,2026-07-07 17:04:00,NetBanking,bank_timeout,TIMEOUT,933,failed
ATT_0000040,TXN_000101,1,2026-08-10 17:35:00,NetBanking,network_error,NETWORK_ERROR,511,failed
ATT_0000041,TXN_000103,1,2026-08-08 11:46:00,UPI,authentication_failure,AUTH_FAILED,4304,failed
ATT_0000042,TXN_000108,1,2026-08-21 12:50:00,UPI,bank_timeout,TIMEOUT,4694,failed
ATT_0000043,TXN_000109,1,2026-07-03 01:14:00,Card,insufficient_funds,INSUFFICIENT_FUNDS,4692,failed
ATT_0000044,TXN_000110,1,2026-07-02 23:15:00,NetBanking,bank_declined,BANK_DECLINED,2117,failed
ATT_0000045,TXN_000118,1,2026-08-11 01:21:00,UPI,authentication_failure,AUTH_FAILED,3239,failed
ATT_0000046,TXN_000119,1,2026-07-09 02:58:00,UPI,network_error,NETWORK_ERROR,3640,failed
ATT_0000047,TXN_000120,1,2026-07-18 13:08:00,NetBanking,network_error,NETWORK_ERROR,4260,failed
ATT_0000048,TXN_000120,2,2026-07-18 13:45:00,NetBanking,network_error,NETWORK_ERROR,4628,failed
ATT_0000049,TXN_000125,1,2026-08-25 13:43:00,Wallet,bank_declined,BANK_DECLINED,3989,failed
ATT_0000050,TXN_000127,1,2026-07-02 12:58:00,UPI,authentication_failure,AUTH_FAILED,3055,failed
ATT_0000051,TXN_000130,1,2026-07-14 13:31:00,NetBanking,network_error,NETWORK_ERROR,2645,failed
ATT_0000052,TXN_000130,2,2026-07-14 13:41:00,NetBanking,network_error,NETWORK_ERROR,1554,failed
ATT_0000053,TXN_000130,3,2026-07-14 13:52:00,NetBanking,network_error,NETWORK_ERROR,4679,failed
ATT_0000054,TXN_000131,1,2026-07-12 06:49:00,Card,network_error,NETWORK_ERROR,3874,failed
ATT_0000055,TXN_000133,1,2026-08-25 07:12:00,Card,insufficient_funds,INSUFFICIENT_FUNDS,4861,failed
ATT_0000056,TXN_000134,1,2026-07-30 09:28:00,Card,network_error,NETWORK_ERROR,4457,failed
ATT_0000057,TXN_000135,1,2026-07-03 03:11:00,UPI,authentication_failure,AUTH_FAILED,3353,failed
ATT_0000058,TXN_000135,2,2026-07-03 03:55:00,UPI,authentication_failure,AUTH_FAILED,1584,failed
ATT_0000059,TXN_000136,1,2026-07-25 22:43:00,Card,expired_card,CARD_EXPIRED,1443,failed
ATT_0000060,TXN_000142,1,2026-08-15 14:58:00,Card,bank_declined,BANK_DECLINED,1601,failed
ATT_0000061,TXN_000144,1,2026-08-13 18:22:00,UPI,bank_declined,BANK_DECLINED,992,failed
ATT_0000062,TXN_000149,1,2026-07-26 14:42:00,Card,insufficient_funds,INSUFFICIENT_FUNDS,248,failed
ATT_0000063,TXN_000155,1,2026-08-07 00:40:00,Card,bank_declined,BANK_DECLINED,2145,failed
ATT_0000064,TXN_000155,2,2026-08-07 01:24:00,Card,bank_declined,BANK_DECLINED,800,failed
ATT_0000065,TXN_000156,1,2026-07-14 22:00:00,UPI,authentication_failure,AUTH_FAILED,1249,failed
ATT_0000066,TXN_000156,2,2026-07-14 22:22:00,UPI,authentication_failure,AUTH_FAILED,2751,failed
ATT_0000067,TXN_000160,1,2026-07-05 06:43:00,UPI,authentication_failure,AUTH_FAILED,1824,failed
ATT_0000068,TXN_000161,1,2026-08-16 06:55:00,UPI,bank_timeout,TIMEOUT,1799,failed
ATT_0000069,TXN_000164,1,2026-08-05 06:01:00,Card,expired_card,CARD_EXPIRED,2879,failed
ATT_0000070,TXN_000169,1,2026-07-28 08:37:00,UPI,bank_timeout,TIMEOUT,1361,failed
ATT_0000071,TXN_000172,1,2026-08-26 14:41:00,Card,insufficient_funds,INSUFFICIENT_FUNDS,3285,failed
ATT_0000072,TXN_000173,1,2026-08-25 03:06:00,Card,expired_card,CARD_EXPIRED,3410,failed
ATT_0000073,TXN_000178,1,2026-07-06 13:06:00,UPI,bank_timeout,TIMEOUT,975,failed
ATT_0000074,TXN_000183,1,2026-07-02 20:43:00,UPI,network_error,NETWORK_ERROR,4042,failed
ATT_0000075,TXN_000190,1,2026-08-14 03:10:00,Card,network_error,NETWORK_ERROR,2446,failed
ATT_0000076,TXN_000191,1,2026-07-08 22:56:00,Wallet,network_error,NETWORK_ERROR,1983,failed
ATT_0000077,TXN_000193,1,2026-07-17 03:58:00,NetBanking,bank_timeout,TIMEOUT,4842,failed
ATT_0000078,TXN_000197,1,2026-07-10 20:37:00,UPI,bank_declined,BANK_DECLINED,2680,failed
ATT_0000079,TXN_000199,1,2026-08-21 11:34:00,Wallet,bank_declined,BANK_DECLINED,580,failed
ATT_0000080,TXN_000202,1,2026-08-03 09:45:00,UPI,authentication_failure,AUTH_FAILED,4904,failed
ATT_0000081,TXN_000203,1,2026-07-11 19:54:00,UPI,bank_declined,BANK_DECLINED,1752,failed
ATT_0000082,TXN_000212,1,2026-08-14 14:57:00,UPI,bank_timeout,TIMEOUT,1664,failed
ATT_0000083,TXN_000212,2,2026-08-14 15:27:00,UPI,bank_timeout,TIMEOUT,311,failed
ATT_0000084,TXN_000214,1,2026-08-12 04:02:00,Card,expired_card,CARD_EXPIRED,470,failed
ATT_0000085,TXN_000214,2,2026-08-12 04:15:00,Card,expired_card,CARD_EXPIRED,4861,failed
ATT_0000086,TXN_000218,1,2026-07-14 23:42:00,Card,bank_declined,BANK_DECLINED,1913,failed
ATT_0000087,TXN_000221,1,2026-08-04 07:03:00,Wallet,bank_declined,BANK_DECLINED,4767,failed
ATT_0000088,TXN_000224,1,2026-08-19 09:23:00,UPI,bank_declined,BANK_DECLINED,3251,failed
ATT_0000089,TXN_000224,2,2026-08-19 09:34:00,UPI,bank_declined,BANK_DECLINED,1161,failed
ATT_0000090,TXN_000224,3,2026-08-19 09:50:00,UPI,bank_declined,BANK_DECLINED,4462,failed
ATT_0000091,TXN_000237,1,2026-08-13 21:02:00,Card,insufficient_funds,INSUFFICIENT_FUNDS,1993,failed
ATT_0000092,TXN_000237,2,2026-08-13 21:18:00,Card,insufficient_funds,INSUFFICIENT_FUNDS,765,failed
ATT_0000093,TXN_000243,1,2026-07-26 12:13:00,NetBanking,network_error,NETWORK_ERROR,1164,failed
ATT_0000094,TXN_000243,2,2026-07-26 12:49:00,NetBanking,network_error,NETWORK_ERROR,206,failed
ATT_0000095,TXN_000245,1,2026-08-12 15:03:00,UPI,network_error,NETWORK_ERROR,1056,failed
ATT_0000096,TXN_000245,2,2026-08-12 15:20:00,UPI,network_error,NETWORK_ERROR,2483,failed
ATT_0000097,TXN_000246,1,2026-07-11 22:53:00,UPI,network_error,NETWORK_ERROR,4209,failed
ATT_0000098,TXN_000247,1,2026-08-02 13:17:00,Card,network_error,NETWORK_ERROR,2087,failed
ATT_0000099,TXN_000248,1,2026-07-31 09:55:00,Card,authentication_failure,AUTH_FAILED,2193,failed
ATT_0000100,TXN_000248,2,2026-07-31 10:17:00,Card,authentication_failure,AUTH_FAILED,1092,failed
ATT_0000101,TXN_000253,1,2026-07-28 22:13:00,UPI,bank_timeout,TIMEOUT,539,failed
ATT_0000102,TXN_000254,1,2026-07-19 16:12:00,Card,bank_declined,BANK_DECLINED,2643,failed
ATT_0000103,TXN_000256,1,2026-07-16 22:21:00,Card,expired_card,CARD_EXPIRED,1135,failed
ATT_0000104,TXN_000258,1,2026-08-04 05:28:00,UPI,bank_timeout,TIMEOUT,4740,failed
ATT_0000105,TXN_000258,2,2026-08-04 05:55:00,UPI,bank_timeout,TIMEOUT,3148,failed
ATT_0000106,TXN_000260,1,2026-07-03 19:28:00,Wallet,insufficient_funds,INSUFFICIENT_FUNDS,4356,failed
ATT_0000107,TXN_000262,1,2026-08-07 23:51:00,UPI,authentication_failure,AUTH_FAILED,2635,failed
ATT_0000108,TXN_000262,2,2026-08-08 00:50:00,UPI,authentication_failure,AUTH_FAILED,1954,failed
ATT_0000109,TXN_000263,1,2026-08-04 08:21:00,UPI,bank_declined,BANK_DECLINED,572,failed
ATT_0000110,TXN_000266,1,2026-08-22 12:22:00,Card,network_error,NETWORK_ERROR,4928,failed
ATT_0000111,TXN_000268,1,2026-08-10 13:31:00,UPI,bank_timeout,TIMEOUT,4212,failed
ATT_0000112,TXN_000268,2,2026-08-10 13:47:00,UPI,bank_timeout,TIMEOUT,3913,failed
ATT_0000113,TXN_000269,1,2026-07-12 22:10:00,UPI,bank_timeout,TIMEOUT,718,failed
ATT_0000114,TXN_000270,1,2026-07-07 18:00:00,NetBanking,bank_declined,BANK_DECLINED,261,failed
ATT_0000115,TXN_000274,1,2026-08-10 18:47:00,Card,bank_declined,BANK_DECLINED,3552,failed
ATT_0000116,TXN_000275,1,2026-07-23 22:37:00,UPI,authentication_failure,AUTH_FAILED,1070,failed
ATT_0000117,TXN_000275,2,2026-07-23 23:13:00,UPI,authentication_failure,AUTH_FAILED,1539,failed
ATT_0000118,TXN_000280,1,2026-08-19 22:37:00,Card,authentication_failure,AUTH_FAILED,701,failed
ATT_0000119,TXN_000280,2,2026-08-19 22:49:00,Card,authentication_failure,AUTH_FAILED,4883,failed
ATT_0000120,TXN_000280,3,2026-08-19 23:21:00,Card,authentication_failure,AUTH_FAILED,2431,failed
ATT_0000121,TXN_000286,1,2026-07-24 04:49:00,UPI,bank_timeout,TIMEOUT,1876,failed
ATT_0000122,TXN_000286,2,2026-07-24 05:46:00,UPI,bank_timeout,TIMEOUT,1989,failed
ATT_0000123,TXN_000289,1,2026-07-16 02:40:00,UPI,bank_declined,BANK_DECLINED,4470,failed
ATT_0000124,TXN_000296,1,2026-08-11 14:29:00,UPI,bank_timeout,TIMEOUT,2112,failed
ATT_0000125,TXN_000296,2,2026-08-11 14:52:00,UPI,bank_timeout,TIMEOUT,1483,failed
ATT_0000126,TXN_000297,1,2026-07-13 18:50:00,UPI,authentication_failure,AUTH_FAILED,4768,failed
ATT_0000127,TXN_000301,1,2026-08-07 01:28:00,Card,authentication_failure,AUTH_FAILED,2047,failed
ATT_0000128,TXN_000311,1,2026-08-26 23:26:00,Card,network_error,NETWORK_ERROR,215,failed
ATT_0000129,TXN_000312,1,2026-08-24 02:38:00,UPI,authentication_failure,AUTH_FAILED,3958,failed
ATT_0000130,TXN_000313,1,2026-08-19 14:59:00,NetBanking,bank_timeout,TIMEOUT,4051,failed
ATT_0000131,TXN_000314,1,2026-07-10 22:04:00,UPI,network_error,NETWORK_ERROR,3673,failed
ATT_0000132,TXN_000314,2,2026-07-10 22:39:00,UPI,network_error,NETWORK_ERROR,1898,failed
ATT_0000133,TXN_000315,1,2026-07-17 21:49:00,Card,authentication_failure,AUTH_FAILED,3588,failed
ATT_0000134,TXN_000315,2,2026-07-17 22:27:00,Card,authentication_failure,AUTH_FAILED,1903,failed
ATT_0000135,TXN_000320,1,2026-08-16 11:01:00,Card,network_error,NETWORK_ERROR,3479,failed
ATT_0000136,TXN_000321,1,2026-08-07 03:29:00,Card,bank_declined,BANK_DECLINED,3242,failed
ATT_0000137,TXN_000321,2,2026-08-07 03:47:00,Card,bank_declined,BANK_DECLINED,3001,failed
ATT_0000138,TXN_000322,1,2026-07-24 12:36:00,Card,network_error,NETWORK_ERROR,3885,failed
ATT_0000139,TXN_000328,1,2026-08-05 13:08:00,UPI,authentication_failure,AUTH_FAILED,3532,failed
ATT_0000140,TXN_000328,2,2026-08-05 14:05:00,UPI,authentication_failure,AUTH_FAILED,3392,failed
ATT_0000141,TXN_000329,1,2026-08-26 22:43:00,Card,bank_declined,BANK_DECLINED,3546,failed
ATT_0000142,TXN_000334,1,2026-07-17 19:05:00,NetBanking,bank_timeout,TIMEOUT,1403,failed
ATT_0000143,TXN_000336,1,2026-07-15 10:13:00,UPI,bank_declined,BANK_DECLINED,573,failed
ATT_0000144,TXN_000337,1,2026-08-25 03:34:00,Card,network_error,NETWORK_ERROR,910,failed
ATT_0000145,TXN_000343,1,2026-07-08 07:29:00,UPI,bank_timeout,TIMEOUT,4095,failed
ATT_0000146,TXN_000352,1,2026-07-15 19:25:00,UPI,bank_timeout,TIMEOUT,762,failed
ATT_0000147,TXN_000352,2,2026-07-15 20:06:00,UPI,bank_timeout,TIMEOUT,3604,failed
ATT_0000148,TXN_000355,1,2026-07-01 15:46:00,UPI,bank_declined,BANK_DECLINED,2913,failed
ATT_0000149,TXN_000355,2,2026-07-01 16:32:00,UPI,bank_declined,BANK_DECLINED,283,failed
ATT_0000150,TXN_000358,1,2026-07-07 01:11:00,NetBanking,bank_declined,BANK_DECLINED,3719,failed
ATT_0000151,TXN_000358,2,2026-07-07 01:30:00,NetBanking,bank_declined,BANK_DECLINED,1544,failed
ATT_0000152,TXN_000359,1,2026-08-25 01:53:00,Wallet,bank_declined,BANK_DECLINED,3259,failed
ATT_0000153,TXN_000362,1,2026-08-19 16:42:00,Wallet,bank_timeout,TIMEOUT,2135,failed
ATT_0000154,TXN_000363,1,2026-07-04 07:19:00,UPI,bank_timeout,TIMEOUT,4987,failed
ATT_0000155,TXN_000371,1,2026-07-12 20:20:00,UPI,bank_declined,BANK_DECLINED,1059,failed
ATT_0000156,TXN_000372,1,2026-07-05 18:11:00,Card,insufficient_funds,INSUFFICIENT_FUNDS,1951,failed
ATT_0000157,TXN_000378,1,2026-07-31 03:53:00,UPI,bank_timeout,TIMEOUT,1520,failed
ATT_0000158,TXN_000381,1,2026-07-31 03:54:00,Card,expired_card,CARD_EXPIRED,1310,failed
ATT_0000159,TXN_000382,1,2026-07-28 12:21:00,Card,authentication_failure,AUTH_FAILED,4613,failed
ATT_0000160,TXN_000387,1,2026-07-01 15:36:00,UPI,bank_timeout,TIMEOUT,3035,failed
ATT_0000161,TXN_000391,1,2026-08-08 10:49:00,NetBanking,network_error,NETWORK_ERROR,1784,failed
ATT_0000162,TXN_000395,1,2026-08-19 14:28:00,NetBanking,bank_timeout,TIMEOUT,1192,failed
ATT_0000163,TXN_000397,1,2026-07-06 02:02:00,UPI,authentication_failure,AUTH_FAILED,4094,failed
ATT_0000164,TXN_000397,2,2026-07-06 02:51:00,UPI,authentication_failure,AUTH_FAILED,2864,failed
ATT_0000165,TXN_000401,1,2026-08-03 03:33:00,UPI,bank_timeout,TIMEOUT,1147,failed
ATT_0000166,TXN_000403,1,2026-07-02 06:22:00,UPI,bank_declined,BANK_DECLINED,4050,failed
ATT_0000167,TXN_000405,1,2026-07-10 01:08:00,UPI,bank_timeout,TIMEOUT,3791,failed
ATT_0000168,TXN_000413,1,2026-08-20 08:19:00,UPI,authentication_failure,AUTH_FAILED,677,failed
ATT_0000169,TXN_000413,2,2026-08-20 08:27:00,UPI,authentication_failure,AUTH_FAILED,2201,failed
ATT_0000170,TXN_000413,3,2026-08-20 08:39:00,UPI,authentication_failure,AUTH_FAILED,456,failed
ATT_0000171,TXN_000415,1,2026-08-06 19:02:00,UPI,bank_timeout,TIMEOUT,3705,failed
ATT_0000172,TXN_000416,1,2026-07-07 07:10:00,UPI,bank_timeout,TIMEOUT,739,failed
ATT_0000173,TXN_000420,1,2026-08-04 11:23:00,UPI,bank_declined,BANK_DECLINED,706,failed
ATT_0000174,TXN_000423,1,2026-07-27 09:00:00,UPI,authentication_failure,AUTH_FAILED,660,failed
ATT_0000175,TXN_000423,2,2026-07-27 09:20:00,UPI,authentication_failure,AUTH_FAILED,4193,failed
ATT_0000176,TXN_000430,1,2026-07-28 02:11:00,UPI,bank_timeout,TIMEOUT,4542,failed
ATT_0000177,TXN_000430,2,2026-07-28 02:52:00,UPI,bank_timeout,TIMEOUT,525,failed
ATT_0000178,TXN_000431,1,2026-07-05 02:00:00,UPI,bank_timeout,TIMEOUT,2545,failed
ATT_0000179,TXN_000435,1,2026-08-01 09:41:00,Card,network_error,NETWORK_ERROR,1876,failed
ATT_0000180,TXN_000444,1,2026-07-09 00:36:00,Card,bank_declined,BANK_DECLINED,2915,failed
ATT_0000181,TXN_000444,2,2026-07-09 01:17:00,Card,bank_declined,BANK_DECLINED,3382,failed
ATT_0000182,TXN_000445,1,2026-08-21 20:53:00,Card,insufficient_funds,INSUFFICIENT_FUNDS,3940,failed
ATT_0000183,TXN_000445,2,2026-08-21 20:59:00,Card,insufficient_funds,INSUFFICIENT_FUNDS,3753,failed
ATT_0000184,TXN_000446,1,2026-07-14 13:58:00,Card,network_error,NETWORK_ERROR,3758,failed
ATT_0000185,TXN_000452,1,2026-08-26 09:50:00,UPI,bank_timeout,TIMEOUT,3219,failed
ATT_0000186,TXN_000463,1,2026-07-21 04:14:00,Card,insufficient_funds,INSUFFICIENT_FUNDS,1772,failed
ATT_0000187,TXN_000465,1,2026-08-23 14:50:00,UPI,bank_timeout,TIMEOUT,3609,failed
ATT_0000188,TXN_000468,1,2026-08-23 15:07:00,Card,expired_card,CARD_EXPIRED,4322,failed
ATT_0000189,TXN_000468,2,2026-08-23 15:17:00,Card,expired_card,CARD_EXPIRED,1397,failed
ATT_0000190,TXN_000473,1,2026-07-19 05:54:00,UPI,bank_timeout,TIMEOUT,2275,failed
ATT_0000191,TXN_000474,1,2026-07-18 04:49:00,Wallet,bank_declined,BANK_DECLINED,4572,failed
ATT_0000192,TXN_000475,1,2026-07-24 07:04:00,UPI,authentication_failure,AUTH_FAILED,2566,failed
ATT_0000193,TXN_000479,1,2026-07-03 15:01:00,Card,bank_declined,BANK_DECLINED,441,failed
ATT_0000194,TXN_000481,1,2026-08-01 09:42:00,NetBanking,bank_declined,BANK_DECLINED,176,failed
ATT_0000195,TXN_000481,2,2026-08-01 10:14:00,NetBanking,bank_declined,BANK_DECLINED,701,failed
ATT_0000196,TXN_000482,1,2026-07-27 23:39:00,Card,insufficient_funds,INSUFFICIENT_FUNDS,1625,failed
ATT_0000197,TXN_000487,1,2026-07-16 01:12:00,Card,expired_card,CARD_EXPIRED,2797,failed
ATT_0000198,TXN_000488,1,2026-07-28 13:37:00,UPI,bank_timeout,TIMEOUT,2677,failed
ATT_0000199,TXN_000490,1,2026-08-21 13:07:00,Wallet,bank_declined,BANK_DECLINED,553,failed
ATT_0000200,TXN_000491,1,2026-07-26 07:53:00,Wallet,bank_timeout,TIMEOUT,261,failed
ATT_0000201,TXN_000492,1,2026-08-20 16:34:00,UPI,bank_timeout,TIMEOUT,2381,failed
ATT_0000202,TXN_000494,1,2026-07-27 00:54:00,Card,bank_declined,BANK_DECLINED,3354,failed
ATT_0000203,TXN_000494,2,2026-07-27 01:11:00,Card,bank_declined,BANK_DECLINED,2707,failed
ATT_0000204,TXN_000495,1,2026-07-18 15:41:00,Card,insufficient_funds,INSUFFICIENT_FUNDS,1970,failed
ATT_0000205,TXN_000496,1,2026-08-04 17:26:00,UPI,bank_timeout,TIMEOUT,1037,failed
ATT_0000206,TXN_000498,1,2026-07-07 19:18:00,NetBanking,authentication_failure,AUTH_FAILED,4029,failed
ATT_0000207,TXN_000499,1,2026-08-19 17:00:00,Card,insufficient_funds,INSUFFICIENT_FUNDS,3480,failed
ATT_0000208,TXN_000508,1,2026-08-16 04:45:00,Wallet,bank_declined,BANK_DECLINED,699,failed
ATT_0000209,TXN_000516,1,2026-07-06 21:00:00,Card,authentication_failure,AUTH_FAILED,1272,failed
ATT_0000210,TXN_000516,2,2026-07-06 21:37:00,Card,authentication_failure,AUTH_FAILED,3751,failed
ATT_0000211,TXN_000518,1,2026-07-21 18:11:00,UPI,bank_declined,BANK_DECLINED,1320,failed
ATT_0000212,TXN_000521,1,2026-07-25 12:47:00,Card,bank_declined,BANK_DECLINED,4952,failed
ATT_0000213,TXN_000522,1,2026-07-01 20:54:00,NetBanking,bank_declined,BANK_DECLINED,2222,failed
ATT_0000214,TXN_000522,2,2026-07-01 21:16:00,NetBanking,bank_declined,BANK_DECLINED,618,failed
ATT_0000215,TXN_000522,3,2026-07-01 21:57:00,NetBanking,bank_declined,BANK_DECLINED,399,failed
ATT_0000216,TXN_000523,1,2026-07-30 16:50:00,Wallet,bank_declined,BANK_DECLINED,386,failed
ATT_0000217,TXN_000524,1,2026-08-25 04:35:00,Card,bank_declined,BANK_DECLINED,948,failed
ATT_0000218,TXN_000524,2,2026-08-25 05:34:00,Card,bank_declined,BANK_DECLINED,4607,failed
ATT_0000219,TXN_000527,1,2026-07-04 02:14:00,NetBanking,bank_declined,BANK_DECLINED,2407,failed
ATT_0000220,TXN_000533,1,2026-07-12 09:34:00,UPI,bank_timeout,TIMEOUT,2566,failed
ATT_0000221,TXN_000533,2,2026-07-12 09:55:00,UPI,bank_timeout,TIMEOUT,3751,failed
ATT_0000222,TXN_000536,1,2026-08-20 09:53:00,UPI,bank_declined,BANK_DECLINED,4354,failed
ATT_0000223,TXN_000536,2,2026-08-20 10:47:00,UPI,bank_declined,BANK_DECLINED,1876,failed
ATT_0000224,TXN_000545,1,2026-08-18 04:58:00,UPI,bank_timeout,TIMEOUT,1308,failed
ATT_0000225,TXN_000548,1,2026-07-11 11:52:00,UPI,network_error,NETWORK_ERROR,3946,failed
ATT_0000226,TXN_000552,1,2026-07-05 22:09:00,Card,expired_card,CARD_EXPIRED,1623,failed
ATT_0000227,TXN_000555,1,2026-07-11 11:04:00,NetBanking,network_error,NETWORK_ERROR,3440,failed
ATT_0000228,TXN_000558,1,2026-08-25 23:10:00,Card,authentication_failure,AUTH_FAILED,3877,failed
ATT_0000229,TXN_000559,1,2026-07-30 12:44:00,UPI,network_error,NETWORK_ERROR,342,failed
ATT_0000230,TXN_000561,1,2026-07-26 08:44:00,UPI,network_error,NETWORK_ERROR,2400,failed
ATT_0000231,TXN_000567,1,2026-07-14 15:01:00,UPI,bank_declined,BANK_DECLINED,1634,failed
ATT_0000232,TXN_000569,1,2026-07-21 03:30:00,Card,authentication_failure,AUTH_FAILED,3923,failed
ATT_0000233,TXN_000570,1,2026-07-31 19:06:00,UPI,bank_timeout,TIMEOUT,4510,failed
ATT_0000234,TXN_000570,2,2026-07-31 19:55:00,UPI,bank_timeout,TIMEOUT,1542,failed
ATT_0000235,TXN_000572,1,2026-07-24 10:25:00,Card,insufficient_funds,INSUFFICIENT_FUNDS,3030,failed
ATT_0000236,TXN_000574,1,2026-07-07 13:43:00,UPI,authentication_failure,AUTH_FAILED,3435,failed
ATT_0000237,TXN_000577,1,2026-07-19 15:33:00,UPI,authentication_failure,AUTH_FAILED,3951,failed
ATT_0000238,TXN_000577,2,2026-07-19 16:19:00,UPI,authentication_failure,AUTH_FAILED,1561,failed
ATT_0000239,TXN_000578,1,2026-07-27 14:02:00,Card,authentication_failure,AUTH_FAILED,4824,failed
ATT_0000240,TXN_000581,1,2026-08-25 08:25:00,UPI,authentication_failure,AUTH_FAILED,403,failed
ATT_0000241,TXN_000586,1,2026-08-22 02:14:00,UPI,network_error,NETWORK_ERROR,4340,failed
ATT_0000242,TXN_000591,1,2026-08-03 10:02:00,Card,network_error,NETWORK_ERROR,1446,failed
ATT_0000243,TXN_000592,1,2026-07-10 23:57:00,UPI,bank_declined,BANK_DECLINED,1883,failed
ATT_0000244,TXN_000596,1,2026-07-14 07:47:00,UPI,bank_declined,BANK_DECLINED,3912,failed
ATT_0000245,TXN_000600,1,2026-08-24 08:26:00,UPI,bank_declined,BANK_DECLINED,898,failed
ATT_0000246,TXN_000601,1,2026-08-03 10:29:00,NetBanking,bank_timeout,TIMEOUT,568,failed
