transaction_id,recovery_eligible,recovery_action,recovery_probability,recovered,recovered_amount,intervention_cost,recovery_time_minutes
TXN_000258,True,retry_later,0.8022,True,2539.74,0.25,31.0
TXN_000260,True,escalate,0.4129,False,0.0,10.0,
TXN_000262,True,escalate,0.2701,True,1602.26,10.0,69.0
TXN_000263,True,escalate,0.293,False,0.0,10.0,
TXN_000266,True,retry_later,0.8031,True,1783.6,0.25,177.0
TXN_000268,True,retry_later,0.7909,True,4216.9,0.25,46.0
TXN_000269,True,retry_later,0.7797,True,6435.31,0.25,110.0
TXN_000270,True,escalate,0.3524,False,0.0,10.0,
TXN_000274,True,retry_later,0.5791,True,827.05,0.25,58.0
TXN_000275,True,escalate,0.2361,False,0.0,10.0,
TXN_000280,True,stop,0.2638,False,0.0,0.0,
TXN_000286,True,retry_later,0.727,True,1830.21,0.25,36.0
TXN_000289,True,escalate,0.3945,False,0.0,10.0,
TXN_000296,True,retry_now,0.9214,True,4974.89,0.5,17.0
TXN_000297,True,send_reminder,0.5535,False,0.0,0.1,
TXN_000301,True,send_reminder,0.5342,False,0.0,0.1,
TXN_000311,True,retry_now,0.905,True,862.93,0.5,27.0
TXN_000312,True,send_reminder,0.5076,True,4670.95,0.1,47.0
TXN_000313,True,retry_later,0.8172,True,4698.61,0.25,117.0
TXN_000314,True,retry_later,0.6345,True,994.23,0.25,6.0
TXN_000315,True,escalate,0.2509,False,0.0,10.0,
TXN_000320,True,retry_later,0.8201,True,5641.21,0.25,1.0
TXN_000321,False,stop,0.1825,False,0.0,0.0,
TXN_000322,True,retry_later,0.678,True,717.03,0.25,91.0
TXN_000328,True,escalate,0.2933,True,1079.52,10.0,96.0
TXN_000329,True,retry_later,0.5633,True,2122.85,0.25,7.0
TXN_000334,True,retry_later,0.7285,True,675.02,0.25,140.0
TXN_000336,True,retry_later,0.5438,True,868.0,0.25,37.0
TXN_000337,True,retry_now,0.8803,True,1632.1,0.5,93.0
TXN_000343,True,retry_now,0.9628,True,1254.56,0.5,24.0
TXN_000352,True,retry_later,0.7629,True,4421.11,0.25,112.0
TXN_000355,True,escalate,0.3488,True,4963.33,10.0,25.0
TXN_000358,True,retry_later,0.5455,True,2064.31,0.25,95.0
TXN_000359,True,escalate,0.3742,True,16172.99,10.0,44.0
TXN_000362,True,retry_later,0.8223,True,4347.04,0.25,53.0
TXN_000363,True,retry_later,0.77,True,7805.69,0.25,132.0
TXN_000371,True,retry_later,0.6511,True,1790.58,0.25,14.0
TXN_000372,True,send_reminder,0.4762,False,0.0,0.1,
TXN_000378,True,retry_later,0.7745,True,4677.71,0.25,25.0
TXN_000381,True,alternate_payment,0.2016,False,0.0,0.3,
TXN_000382,True,escalate,0.432,False,0.0,10.0,
TXN_000387,True,retry_later,0.696,True,6606.07,0.25,1.0
TXN_000391,True,retry_later,0.5198,True,3786.16,0.25,107.0
TXN_000395,True,retry_later,0.8057,True,413.46,0.25,145.0
TXN_000397,True,escalate,0.4281,False,0.0,10.0,
TXN_000401,True,retry_now,0.97,True,3590.87,0.5,124.0
TXN_000403,True,escalate,0.2543,False,0.0,10.0,
TXN_000405,True,retry_later,0.6586,True,1163.16,0.25,91.0
TXN_000413,False,stop,0.1652,False,0.0,0.0,
TXN_000415,True,retry_later,0.803,True,1906.86,0.25,50.0
TXN_000416,True,retry_later,0.789,True,3450.82,0.25,175.0
TXN_000420,True,retry_later,0.5478,False,0.0,0.25,
TXN_000423,True,escalate,0.3314,True,1218.49,10.0,145.0
TXN_000430,True,retry_later,0.6791,False,0.0,0.25,
TXN_000431,True,retry_later,0.6352,True,1192.4,0.25,102.0
TXN_000435,True,retry_later,0.8009,True,2022.93,0.25,37.0
TXN_000444,True,escalate,0.4364,True,9965.62,10.0,71.0
TXN_000445,True,escalate,0.4079,True,3332.0,10.0,10.0
TXN_000446,True,retry_later,0.7934,True,6495.44,0.25,71.0
TXN_000452,True,retry_later,0.6563,True,6567.91,0.25,76.0
TXN_000463,True,send_reminder,0.461,False,0.0,0.1,
TXN_000465,True,retry_now,0.9152,True,2105.65,0.5,103.0
TXN_000468,True,alternate_payment,0.2946,False,0.0,0.3,
TXN_000473,True,retry_later,0.6445,False,0.0,0.25,
TXN_000474,True,retry_later,0.4949,False,0.0,0.25,
TXN_000475,True,escalate,0.4248,False,0.0,10.0,
TXN_000479,True,retry_later,0.6056,False,0.0,0.25,
TXN_000481,True,escalate,0.2972,False,0.0,10.0,
TXN_000482,True,escalate,0.203,False,0.0,10.0,
TXN_000487,True,alternate_payment,0.2922,False,0.0,0.3,
TXN_000488,True,retry_later,0.6134,True,5182.53,0.25,57.0
TXN_000490,True,retry_later,0.5894,True,10378.02,0.25,93.0
TXN_000491,True,retry_later,0.7296,True,1238.79,0.25,6.0
TXN_000492,True,retry_now,0.8634,True,1020.75,0.5,97.0
TXN_000494,True,escalate,0.3239,False,0.0,10.0,
TXN_000495,True,escalate,0.3486,False,0.0,10.0,
TXN_000496,True,retry_later,0.8269,True,8229.06,0.25,148.0
TXN_000498,True,send_reminder,0.5199,False,0.0,0.1,
TXN_000499,True,escalate,0.4371,False,0.0,10.0,
TXN_000508,True,retry_later,0.5049,False,0.0,0.25,
TXN_000516,True,escalate,0.2786,False,0.0,10.0,
TXN_000518,True,retry_later,0.5968,False,0.0,0.25,
TXN_000521,True,retry_later,0.4577,True,1875.15,0.25,25.0
TXN_000522,False,stop,0.0863,False,0.0,0.0,
TXN_000523,True,retry_later,0.4936,False,0.0,0.25,
TXN_000524,True,retry_later,0.501,True,4471.28,0.25,50.0
TXN_000527,True,retry_later,0.5477,False,0.0,0.25,
TXN_000533,True,retry_later,0.6177,True,7066.68,0.25,126.0
TXN_000536,True,escalate,0.2113,False,0.0,10.0,
TXN_000545,True,retry_later,0.7913,True,796.76,0.25,118.0
TXN_000548,True,retry_later,0.6863,True,4955.16,0.25,25.0
TXN_000552,False,alternate_payment,0.1932,False,0.0,0.3,
TXN_000555,True,retry_later,0.8077,True,5481.7,0.25,14.0
TXN_000558,True,send_reminder,0.4649,False,0.0,0.1,
TXN_000559,True,retry_later,0.5748,True,3828.79,0.25,46.0
TXN_000561,True,retry_now,0.8632,True,1595.95,0.5,118.0
TXN_000567,True,retry_later,0.4772,False,0.0,0.25,
TXN_000569,True,send_reminder,0.667,False,0.0,0.1,
TXN_000570,True,retry_now,0.8865,True,971.84,0.5,66.0
TXN_000572,True,escalate,0.4207,False,0.0,10.0,
TXN_000574,True,send_reminder,0.727,False,0.0,0.1,
TXN_000577,True,send_reminder,0.542,False,0.0,0.1,
TXN_000578,True,send_reminder,0.5164,False,0.0,0.1,
TXN_000581,True,send_reminder,0.519,True,1472.53,0.1,119.0
TXN_000586,True,retry_now,0.897,True,2085.63,0.5,113.0
TXN_000591,True,retry_later,0.6656,True,1943.22,0.25,79.0
TXN_000592,True,retry_later,0.5682,True,2011.83,0.25,38.0
TXN_000596,True,retry_later,0.5531,True,932.1,0.25,164.0
TXN_000600,True,retry_later,0.6084,False,0.0,0.25,
TXN_000601,True,retry_later,0.8272,True,2821.83,0.25,163.0
TXN_000602,True,retry_now,0.9185,False,0.0,0.5,
TXN_000606,True,escalate,0.3973,True,3860.31,10.0,111.0
TXN_000611,True,escalate,0.2565,False,0.0,10.0,
TXN_000616,False,alternate_payment,0.1111,False,0.0,0.3,
TXN_000618,True,retry_later,0.6087,True,1467.85,0.25,147.0
TXN_000623,True,retry_now,0.9165,False,0.0,0.5,
TXN_000630,True,send_reminder,0.4902,False,0.0,0.1,
TXN_000631,True,escalate,0.42,False,0.0,10.0,
TXN_000635,True,retry_later,0.8379,True,8521.19,0.25,32.0
TXN_000640,True,retry_later,0.7461,True,14400.59,0.25,3.0
TXN_000641,True,retry_later,0.5483,True,3091.77,0.25,45.0
TXN_000642,True,send_reminder,0.5158,False,0.0,0.1,
TXN_000645,False,stop,0.1775,False,0.0,0.0,
TXN_000647,True,retry_now,0.8781,True,1585.57,0.5,158.0
TXN_000653,True,retry_now,0.9508,True,1374.25,0.5,125.0
TXN_000655,True,escalate,0.275,False,0.0,10.0,
TXN_000657,True,retry_later,0.4695,True,1010.47,0.25,137.0
TXN_000658,True,escalate,0.4477,False,0.0,10.0,
TXN_000659,True,send_reminder,0.621,True,1247.79,0.1,65.0
TXN_000663,True,escalate,0.4483,False,0.0,10.0,
TXN_000669,True,retry_later,0.5856,True,3083.3,0.25,171.0
TXN_000671,True,escalate,0.313,True,447.39,10.0,28.0
TXN_000674,True,retry_later,0.7423,True,1636.34,0.25,47.0
TXN_000682,True,retry_now,0.8543,True,3665.11,0.5,102.0
TXN_000695,True,retry_later,0.7534,True,1702.73,0.25,38.0
TXN_000696,True,escalate,0.4443,False,0.0,10.0,
TXN_000701,True,retry_now,0.9064,True,2120.8,0.5,176.0
TXN_000702,True,retry_later,0.7826,True,2639.79,0.25,52.0
TXN_000705,True,stop,0.2096,False,0.0,0.0,
TXN_000707,True,retry_later,0.819,True,2986.31,0.25,47.0
TXN_000710,True,retry_later,0.6179,False,0.0,0.25,
TXN_000711,True,retry_later,0.4844,False,0.0,0.25,
TXN_000716,True,retry_later,0.7036,True,2031.16,0.25,175.0
TXN_000721,True,send_reminder,0.4909,False,0.0,0.1,
TXN_000727,True,retry_later,0.8182,True,6404.75,0.25,178.0
TXN_000735,True,retry_later,0.5189,False,0.0,0.25,
TXN_000747,True,retry_now,0.9595,True,816.76,0.5,148.0
TXN_000753,True,send_reminder,0.5133,False,0.0,0.1,
TXN_000754,True,retry_later,0.8368,True,6753.95,0.25,93.0
TXN_000756,True,retry_now,0.9316,False,0.0,0.5,
TXN_000758,True,retry_later,0.7881,True,2629.89,0.25,62.0
TXN_000759,True,send_reminder,0.6561,False,0.0,0.1,
TXN_000766,True,retry_now,0.9225,True,903.79,0.5,15.0
TXN_000767,True,send_reminder,0.5173,True,2155.53,0.1,161.0
TXN_000771,True,escalate,0.4066,True,3809.46,10.0,89.0
TXN_000772,True,retry_later,0.5781,False,0.0,0.25,
TXN_000776,True,send_reminder,0.5015,False,0.0,0.1,
TXN_000779,False,alternate_payment,0.0659,False,0.0,0.3,
TXN_000784,True,retry_later,0.57,True,1684.92,0.25,95.0
TXN_000791,True,retry_later,0.6397,False,0.0,0.25,
TXN_000792,True,retry_later,0.8331,True,1441.44,0.25,130.0
TXN_000793,True,send_reminder,0.4574,False,0.0,0.1,
TXN_000800,True,retry_later,0.6587,True,2767.16,0.25,16.0
TXN_000802,True,escalate,0.278,True,4322.93,10.0,60.0
TXN_000805,True,retry_later,0.7312,True,3430.26,0.25,2.0
TXN_000812,True,retry_later,0.5794,True,1564.88,0.25,43.0
TXN_000816,False,alternate_payment,0.1563,False,0.0,0.3,
TXN_000820,True,retry_later,0.806,True,9936.26,0.25,72.0
TXN_000821,True,send_reminder,0.4562,False,0.0,0.1,
TXN_000825,True,escalate,0.3973,False,0.0,10.0,
TXN_000827,True,retry_later,0.7588,False,0.0,0.25,
TXN_000828,True,retry_later,0.7934,True,2943.1,0.25,86.0
TXN_000830,True,escalate,0.247,False,0.0,10.0,
TXN_000832,True,send_reminder,0.6724,False,0.0,0.1,
TXN_000840,True,escalate,0.3143,True,3414.16,10.0,47.0
TXN_000842,True,send_reminder,0.7179,True,5616.03,0.1,125.0
TXN_000845,True,escalate,0.3344,True,1386.43,10.0,135.0
TXN_000848,True,escalate,0.4378,False,0.0,10.0,
TXN_000854,True,escalate,0.3182,False,0.0,10.0,
TXN_000863,True,alternate_payment,0.4717,False,0.0,0.3,
TXN_000875,True,retry_later,0.7677,True,2522.64,0.25,29.0
TXN_000876,True,escalate,0.4325,True,5225.16,10.0,142.0
TXN_000877,False,stop,0.1521,False,0.0,0.0,
TXN_000881,True,retry_later,0.5762,True,1506.8,0.25,100.0
TXN_000886,True,stop,0.5999,False,0.0,0.0,
TXN_000887,True,retry_later,0.6871,True,1816.44,0.25,135.0
TXN_000888,True,send_reminder,0.5906,False,0.0,0.1,
TXN_000890,True,retry_now,0.9627,True,906.92,0.5,46.0
TXN_000895,True,retry_later,0.5822,False,0.0,0.25,
TXN_000898,True,escalate,0.4149,False,0.0,10.0,
TXN_000903,True,stop,0.2731,False,0.0,0.0,
TXN_000904,True,retry_now,0.942,True,1094.69,0.5,84.0
TXN_000910,True,retry_now,0.9168,True,3706.02,0.5,43.0
TXN_000914,True,escalate,0.4395,True,936.89,10.0,152.0
TXN_000917,True,alternate_payment,0.4135,False,0.0,0.3,
TXN_000919,True,retry_later,0.5908,True,1489.04,0.25,22.0
TXN_000921,True,send_reminder,0.5236,False,0.0,0.1,
TXN_000922,True,retry_later,0.7672,True,1811.92,0.25,152.0
TXN_000923,True,retry_later,0.6827,True,2830.31,0.25,177.0
TXN_000926,True,escalate,0.3471,True,1139.27,10.0,19.0
TXN_000929,True,escalate,0.4066,False,0.0,10.0,
TXN_000931,True,send_reminder,0.5943,True,951.05,0.1,36.0
TXN_000933,True,alternate_payment,0.3548,True,4396.21,0.3,101.0
TXN_000935,True,send_reminder,0.6465,True,1604.3,0.1,107.0
TXN_000938,True,send_reminder,0.5973,False,0.0,0.1,
TXN_000941,True,escalate,0.4086,True,1107.32,10.0,34.0
TXN_000946,True,escalate,0.4301,False,0.0,10.0,
TXN_000949,True,retry_now,0.9288,True,2840.07,0.5,179.0
TXN_000951,True,retry_later,0.6779,False,0.0,0.25,
TXN_000957,True,escalate,0.4447,True,4525.74,10.0,25.0
TXN_000958,True,retry_later,0.4975,False,0.0,0.25,
TXN_000960,True,retry_later,0.6631,True,3954.45,0.25,123.0
TXN_000961,True,retry_later,0.839,True,4068.09,0.25,146.0
TXN_000964,False,alternate_payment,0.0982,False,0.0,0.3,
TXN_000966,True,retry_now,0.8541,True,7700.71,0.5,11.0
TXN_000972,True,retry_later,0.5815,True,1208.75,0.25,106.0
TXN_000976,True,retry_now,0.9625,True,1213.95,0.5,177.0
TXN_000981,True,retry_later,0.4965,False,0.0,0.25,
TXN_000983,True,retry_later,0.6412,True,1224.93,0.25,12.0
TXN_000992,True,retry_later,0.5957,True,7591.81,0.25,16.0
TXN_000995,True,retry_now,0.9115,True,929.25,0.5,107.0
TXN_000997,True,stop,0.3811,False,0.0,0.0,
TXN_000998,True,retry_later,0.556,False,0.0,0.25,
TXN_001002,True,retry_later,0.7091,True,5887.91,0.25,57.0
TXN_001003,True,retry_later,0.5715,False,0.0,0.25,
TXN_001011,True,retry_now,0.8578,True,3405.53,0.5,133.0
TXN_001012,True,retry_later,0.7949,True,1112.27,0.25,44.0
TXN_001015,True,send_reminder,0.597,False,0.0,0.1,
TXN_001018,True,escalate,0.3399,False,0.0,10.0,
TXN_001019,False,alternate_payment,0.1834,False,0.0,0.3,
TXN_001023,True,retry_later,0.7163,True,8706.9,0.25,6.0
TXN_001027,True,retry_now,0.97,True,2166.41,0.5,154.0
TXN_001029,True,retry_later,0.6164,False,0.0,0.25,
TXN_001034,True,retry_later,0.5002,True,1943.98,0.25,89.0
TXN_001039,True,retry_later,0.8079,True,3438.03,0.25,102.0
TXN_001042,True,escalate,0.4412,True,2598.95,10.0,45.0
TXN_001045,True,retry_later,0.8271,False,0.0,0.25,
TXN_001048,True,retry_later,0.4994,True,1384.07,0.25,47.0
TXN_001052,False,stop,0.03,False,0.0,0.0,
TXN_001053,True,escalate,0.3326,False,0.0,10.0,
TXN_001055,True,send_reminder,0.539,True,635.16,0.1,170.0
TXN_001057,True,retry_later,0.6847,True,1128.19,0.25,92.0
TXN_001059,True,retry_later,0.841,True,13794.77,0.25,81.0
TXN_001061,True,retry_later,0.7842,True,5550.2,0.25,171.0
TXN_001062,True,retry_later,0.6037,False,0.0,0.25,
TXN_001066,True,escalate,0.2314,True,691.18,10.0,115.0
TXN_001069,True,escalate,0.2722,False,0.0,10.0,
TXN_001072,True,retry_later,0.8474,False,0.0,0.25,
TXN_001074,True,retry_later,0.7278,True,3849.92,0.25,12.0
TXN_001078,True,retry_later,0.7412,True,4211.84,0.25,126.0
TXN_001080,True,retry_later,0.4938,False,0.0,0.25,
TXN_001082,True,retry_later,0.7889,True,12006.97,0.25,169.0
TXN_001087,True,send_reminder,0.4925,True,867.75,0.1,10.0
TXN_001092,False,alternate_payment,0.1901,True,589.45,0.3,158.0
TXN_001094,True,retry_later,0.4822,False,0.0,0.25,
TXN_001098,True,escalate,0.2876,False,0.0,10.0,
TXN_001107,True,send_reminder,0.5316,True,2731.99,0.1,29.0
TXN_001109,True,retry_now,0.8504,True,979.65,0.5,45.0
TXN_001110,True,retry_later,0.6145,False,0.0,0.25,
TXN_001111,True,stop,0.6542,False,0.0,0.0,
TXN_001112,True,escalate,0.3041,False,0.0,10.0,
TXN_001114,True,escalate,0.2721,False,0.0,10.0,
TXN_001115,True,alternate_payment,0.3531,False,0.0,0.3,
TXN_001116,True,send_reminder,0.4517,False,0.0,0.1,
TXN_001124,True,escalate,0.351,True,2712.27,10.0,3.0
TXN_001125,True,escalate,0.3137,False,0.0,10.0,
TXN_001127,False,alternate_payment,0.0731,False,0.0,0.3,
TXN_001133,True,stop,0.6187,False,0.0,0.0,
TXN_001136,True,send_reminder,0.4896,True,2318.45,0.1,18.0
TXN_001138,True,send_reminder,0.701,True,8301.21,0.1,94.0
TXN_001139,True,retry_later,0.5427,True,1164.85,0.25,130.0
TXN_001142,False,alternate_payment,0.1886,False,0.0,0.3,
TXN_001143,True,retry_later,0.7351,True,3674.6,0.25,51.0
TXN_001144,True,stop,0.2562,False,0.0,0.0,
TXN_001145,True,send_reminder,0.5657,True,2107.97,0.1,156.0
TXN_001147,True,retry_now,0.9215,False,0.0,0.5,
TXN_001150,True,send_reminder,0.5722,False,0.0,0.1,
TXN_001151,True,retry_now,0.97,True,2324.35,0.5,17.0
TXN_001155,True,send_reminder,0.5632,False,0.0,0.1,
TXN_001156,True,retry_later,0.7251,True,3455.82,0.25,59.0
TXN_001158,True,retry_later,0.4766,False,0.0,0.25,
TXN_001162,True,retry_now,0.97,True,1127.17,0.5,71.0
TXN_001166,True,retry_now,0.8585,True,12763.25,0.5,103.0
TXN_001173,True,alternate_payment,0.3324,False,0.0,0.3,
TXN_001176,True,retry_later,0.8369,True,2146.75,0.25,136.0
TXN_001178,True,send_reminder,0.6343,False,0.0,0.1,
TXN_001181,True,retry_later,0.7278,True,4228.71,0.25,139.0
TXN_001189,True,retry_now,0.97,True,2378.38,0.5,47.0
TXN_001193,True,retry_later,0.6958,True,2940.19,0.25,12.0
TXN_001195,True,send_reminder,0.5183,True,6346.6,0.1,164.0
TXN_001197,True,alternate_payment,0.4959,True,2931.47,0.3,41.0
TXN_001199,True,escalate,0.4342,False,0.0,10.0,
TXN_001204,True,retry_later,0.8367,True,3070.4,0.25,127.0
TXN_001207,True,retry_later,0.735,False,0.0,0.25,
TXN_001208,True,retry_later,0.6692,True,7080.3,0.25,101.0
TXN_001215,True,escalate,0.3727,True,1777.59,10.0,96.0
TXN_001217,True,send_reminder,0.5833,False,0.0,0.1,
TXN_001218,True,retry_later,0.814,True,6683.43,0.25,88.0
TXN_001220,True,retry_now,0.8501,True,5462.74,0.5,75.0
TXN_001222,True,retry_now,0.9212,True,1262.5,0.5,122.0
TXN_001240,True,escalate,0.3962,True,4992.63,10.0,163.0
TXN_001242,True,escalate,0.3477,False,0.0,10.0,
TXN_001250,True,retry_later,0.5306,False,0.0,0.25,
TXN_001251,True,send_reminder,0.4676,False,0.0,0.1,
TXN_001254,True,escalate,0.2248,False,0.0,10.0,
TXN_001267,True,alternate_payment,0.3528,False,0.0,0.3,
TXN_001271,True,stop,0.4438,False,0.0,0.0,
TXN_001275,True,escalate,0.4211,True,1363.13,10.0,123.0
TXN_001277,True,retry_later,0.6418,True,6337.17,0.25,94.0
TXN_001278,True,send_reminder,0.4543,True,4381.32,0.1,35.0
TXN_001281,True,stop,0.6721,False,0.0,0.0,
TXN_001283,True,retry_later,0.6808,True,4703.8,0.25,12.0
TXN_001286,False,alternate_payment,0.1808,False,0.0,0.3,
TXN_001289,True,retry_later,0.7271,True,1781.44,0.25,18.0
TXN_001290,True,escalate,0.3065,False,0.0,10.0,
TXN_001300,True,retry_later,0.459,False,0.0,0.25,
TXN_001308,True,send_reminder,0.6859,True,1249.46,0.1,130.0
TXN_001313,True,retry_later,0.7359,False,0.0,0.25,
TXN_001315,True,escalate,0.3032,True,3055.83,10.0,90.0
TXN_001316,True,send_reminder,0.6205,True,5486.85,0.1,48.0
TXN_001321,True,retry_later,0.6448,True,5412.49,0.25,140.0
TXN_001325,True,escalate,0.3654,True,3890.1,10.0,180.0
TXN_001326,True,escalate,0.282,False,0.0,10.0,
TXN_001329,True,stop,0.2378,False,0.0,0.0,
TXN_001332,True,alternate_payment,0.356,True,2213.55,0.3,40.0
TXN_001336,True,escalate,0.4097,True,1377.82,10.0,33.0
TXN_001342,True,escalate,0.4335,True,2815.18,10.0,139.0
TXN_001343,True,retry_later,0.766,True,750.47,0.25,104.0
TXN_001345,True,retry_later,0.6008,True,6649.35,0.25,10.0
TXN_001350,False,stop,0.135,False,0.0,0.0,
TXN_001365,True,send_reminder,0.5802,False,0.0,0.1,
TXN_001369,True,retry_later,0.4573,True,2278.21,0.25,169.0
TXN_001371,True,stop,0.2335,False,0.0,0.0,
TXN_001372,True,retry_later,0.7027,True,3538.63,0.25,16.0
TXN_001375,True,retry_later,0.7549,True,2821.01,0.25,155.0
TXN_001379,True,retry_later,0.5878,False,0.0,0.25,
TXN_001380,True,retry_later,0.5334,False,0.0,0.25,
TXN_001382,True,retry_later,0.6605,True,1102.48,0.25,156.0
TXN_001387,True,retry_later,0.8178,False,0.0,0.25,
TXN_001388,True,retry_later,0.5478,True,2509.33,0.25,91.0
TXN_001396,True,stop,0.6697,False,0.0,0.0,
TXN_001400,True,retry_later,0.6001,False,0.0,0.25,
TXN_001413,True,retry_later,0.7566,True,1123.16,0.25,70.0
TXN_001414,True,escalate,0.4016,True,6569.04,10.0,178.0
TXN_001416,True,retry_later,0.7008,False,0.0,0.25,
TXN_001424,True,retry_later,0.5827,True,2164.72,0.25,123.0
TXN_001426,True,retry_later,0.6096,False,0.0,0.25,
TXN_001427,True,retry_now,0.8783,False,0.0,0.5,
TXN_001430,True,escalate,0.3675,False,0.0,10.0,
TXN_001431,True,retry_later,0.5143,True,2087.43,0.25,105.0
TXN_001437,True,retry_now,0.9125,True,3151.46,0.5,41.0
TXN_001438,True,retry_now,0.97,True,2729.6,0.5,57.0
TXN_001439,True,escalate,0.2592,False,0.0,10.0,
TXN_001440,True,retry_later,0.4509,False,0.0,0.25,
