customer_id,customer_tenure_days,total_transactions,successful_transactions,failed_transactions,historical_success_rate,avg_transaction_amount,preferred_payment_method
CUST_00086,1142,43,12,31,0.2791,1554.28,NetBanking
CUST_00087,1388,18,7,11,0.3889,4191.36,NetBanking
CUST_00088,266,18,16,2,0.8889,2779.78,Card
CUST_00089,587,41,31,10,0.7561,1524.11,Card
CUST_00090,1499,48,27,21,0.5625,3163.03,NetBanking
CUST_00091,1065,67,36,31,0.5373,2363.63,UPI
CUST_00092,219,59,34,25,0.5763,4350.52,UPI
CUST_00093,37,47,22,25,0.4681,1350.95,NetBanking
CUST_00094,360,61,53,8,0.8689,1755.72,Wallet
CUST_00095,1178,6,1,5,0.1667,1678.28,UPI
CUST_00096,1445,24,24,0,1.0,792.78,UPI
CUST_00097,786,79,58,21,0.7342,2717.0,Card
CUST_00098,910,21,7,14,0.3333,2651.12,NetBanking
CUST_00099,776,10,8,2,0.8,2216.27,Card
CUST_00100,1426,36,31,5,0.8611,1873.92,UPI
CUST_00101,754,76,48,28,0.6316,819.95,Card
CUST_00102,514,25,12,13,0.48,1645.09,Wallet
CUST_00103,80,27,18,9,0.6667,1737.32,Wallet
CUST_00104,1401,36,18,18,0.5,1259.42,Card
CUST_00105,1466,18,11,7,0.6111,1972.58,UPI
CUST_00106,993,33,15,18,0.4545,2930.23,Wallet
CUST_00107,746,44,27,17,0.6136,8269.51,Card
CUST_00108,78,29,20,9,0.6897,2495.4,NetBanking
CUST_00109,600,13,7,6,0.5385,2644.63,NetBanking
CUST_00110,1343,70,46,24,0.6571,2096.21,NetBanking
CUST_00111,86,19,19,0,1.0,576.43,NetBanking
CUST_00112,395,79,39,40,0.4937,2167.74,UPI
CUST_00113,252,60,40,20,0.6667,2303.45,NetBanking
CUST_00114,923,70,28,42,0.4,12385.35,Wallet
CUST_00115,1210,29,16,13,0.5517,1930.14,UPI
CUST_00116,1481,60,18,42,0.3,2727.34,Card
CUST_00117,775,60,22,38,0.3667,2155.34,NetBanking
CUST_00118,1306,45,20,25,0.4444,974.5,NetBanking
CUST_00119,1068,44,39,5,0.8864,4914.65,NetBanking
CUST_00120,854,42,29,13,0.6905,3738.18,Card
CUST_00121,422,58,41,17,0.7069,3841.9,Card
CUST_00122,1290,77,42,35,0.5455,1168.44,Wallet
CUST_00123,1152,5,3,2,0.6,5895.57,NetBanking
CUST_00124,460,60,55,5,0.9167,827.74,NetBanking
CUST_00125,982,61,46,15,0.7541,3330.24,Card
CUST_00126,1076,65,29,36,0.4462,10232.45,UPI
CUST_00127,611,70,63,7,0.9,1103.92,NetBanking
CUST_00128,221,35,31,4,0.8857,1485.63,NetBanking
CUST_00129,490,30,13,17,0.4333,2367.89,UPI
CUST_00130,124,36,25,11,0.6944,1552.41,UPI
CUST_00131,962,58,57,1,0.9828,745.86,Card
CUST_00132,1456,54,47,7,0.8704,2316.92,Wallet
CUST_00133,529,23,6,17,0.2609,1049.83,UPI
CUST_00134,900,33,14,19,0.4242,3076.4,Wallet
CUST_00135,132,76,37,39,0.4868,1160.26,UPI
CUST_00136,964,22,20,2,0.9091,6535.17,NetBanking
CUST_00137,936,69,47,22,0.6812,1276.3,Wallet
CUST_00138,355,65,47,18,0.7231,1762.62,NetBanking
CUST_00139,536,40,36,4,0.9,3902.85,Wallet
CUST_00140,1313,35,18,17,0.5143,932.99,Wallet
CUST_00141,188,41,19,22,0.4634,2589.5,NetBanking
CUST_00142,717,45,18,27,0.4,5513.75,Card
CUST_00143,338,34,22,12,0.6471,716.77,Card
CUST_00144,1476,32,11,21,0.3438,2513.03,Wallet
CUST_00145,864,47,43,4,0.9149,2648.95,Wallet
CUST_00146,157,31,22,9,0.7097,3817.21,Wallet
CUST_00147,1226,7,6,1,0.8571,929.02,Wallet
CUST_00148,1006,5,3,2,0.6,876.28,NetBanking
CUST_00149,828,58,51,7,0.8793,3182.3,Card
CUST_00150,1029,33,17,16,0.5152,2718.65,Wallet
CUST_00151,1024,8,5,3,0.625,2631.59,NetBanking
CUST_00152,1399,56,26,30,0.4643,2814.43,Wallet
CUST_00153,291,73,22,51,0.3014,1371.94,Wallet
CUST_00154,1242,77,65,12,0.8442,2598.21,UPI
CUST_00155,201,59,25,34,0.4237,2711.21,Wallet
CUST_00156,402,11,7,4,0.6364,1339.37,Wallet
CUST_00157,700,32,23,9,0.7188,8152.19,NetBanking
CUST_00158,721,53,32,21,0.6038,3076.92,Wallet
CUST_00159,546,15,11,4,0.7333,959.19,UPI
CUST_00160,1134,11,8,3,0.7273,3496.74,Card
CUST_00161,1361,13,13,0,1.0,1116.24,UPI
CUST_00162,93,36,16,20,0.4444,3831.3,UPI
CUST_00163,1302,24,14,10,0.5833,4969.21,Card
CUST_00164,999,19,14,5,0.7368,1243.3,Card
CUST_00165,982,37,35,2,0.9459,4334.51,NetBanking
CUST_00166,373,19,17,2,0.8947,2948.19,Card
CUST_00167,667,18,14,4,0.7778,3926.26,UPI
CUST_00168,668,78,66,12,0.8462,8331.14,Wallet
CUST_00169,842,30,11,19,0.3667,1859.81,Card
CUST_00170,238,43,19,24,0.4419,1302.95,UPI
CUST_00171,741,73,48,25,0.6575,1184.81,NetBanking
CUST_00172,171,69,61,8,0.8841,1247.54,NetBanking
CUST_00173,55,58,48,10,0.8276,2092.32,UPI
CUST_00174,917,51,44,7,0.8627,2804.01,Card
CUST_00175,921,27,24,3,0.8889,2680.3,NetBanking
CUST_00176,1291,73,70,3,0.9589,3940.36,Wallet
CUST_00177,982,60,55,5,0.9167,2228.54,NetBanking
CUST_00178,690,36,36,0,1.0,6108.73,UPI
CUST_00179,601,62,33,29,0.5323,1834.89,Wallet
CUST_00180,1197,53,36,17,0.6792,14825.71,UPI
CUST_00181,1042,46,24,22,0.5217,3421.95,Wallet
CUST_00182,464,50,31,19,0.62,1211.95,NetBanking
CUST_00183,602,40,29,11,0.725,1043.54,UPI
CUST_00184,1088,29,10,19,0.3448,3095.58,Card
CUST_00185,862,67,55,12,0.8209,1888.57,Card
CUST_00186,1444,65,60,5,0.9231,3640.22,Wallet
CUST_00187,947,7,2,5,0.2857,3075.63,NetBanking
CUST_00188,483,56,31,25,0.5536,2098.59,NetBanking
CUST_00189,1389,79,46,33,0.5823,1220.78,Wallet
CUST_00190,1163,72,43,29,0.5972,764.79,Wallet
CUST_00191,1157,47,36,11,0.766,1615.56,Wallet
CUST_00192,584,44,29,15,0.6591,4021.78,Card
CUST_00193,277,29,18,11,0.6207,2565.39,UPI
CUST_00194,1127,28,14,14,0.5,923.33,Card
CUST_00195,1021,40,35,5,0.875,2492.96,NetBanking
CUST_00196,235,29,17,12,0.5862,2892.05,Card
CUST_00197,769,27,17,10,0.6296,1189.51,UPI
CUST_00198,1480,73,29,44,0.3973,2459.24,NetBanking
CUST_00199,123,11,11,0,1.0,2300.19,NetBanking
CUST_00200,1458,21,21,0,1.0,992.2,UPI
CUST_00201,55,78,41,37,0.5256,2836.85,Wallet
CUST_00202,1010,61,39,22,0.6393,3270.01,Card
CUST_00203,135,37,26,11,0.7027,4713.26,UPI
CUST_00204,163,56,47,9,0.8393,4617.74,UPI
CUST_00205,1211,11,5,6,0.4545,841.87,Card
CUST_00206,1182,43,17,26,0.3953,1145.42,Card
CUST_00207,272,76,70,6,0.9211,3166.95,Wallet
CUST_00208,1271,33,33,0,1.0,3164.18,Wallet
CUST_00209,952,61,37,24,0.6066,3166.98,Wallet
CUST_00210,655,77,62,15,0.8052,32758.31,UPI
CUST_00211,1278,17,17,0,1.0,3293.23,Card
CUST_00212,1311,32,17,15,0.5312,4889.75,UPI
CUST_00213,351,35,15,20,0.4286,4306.16,UPI
CUST_00214,350,5,4,1,0.8,3484.13,Wallet
CUST_00215,1441,65,37,28,0.5692,1771.02,UPI
CUST_00216,504,41,34,7,0.8293,3756.63,NetBanking
CUST_00217,1469,63,22,41,0.3492,1285.65,Card
CUST_00218,571,80,66,14,0.825,1871.0,Card
CUST_00219,900,19,13,6,0.6842,1572.22,Card
CUST_00220,1356,24,15,9,0.625,2338.61,Card
CUST_00221,176,12,5,7,0.4167,11161.89,NetBanking
CUST_00222,1248,77,41,36,0.5325,597.6,Wallet
CUST_00223,284,64,63,1,0.9844,3570.22,NetBanking
CUST_00224,1463,56,33,23,0.5893,714.15,Wallet
CUST_00225,926,15,13,2,0.8667,1587.07,UPI
CUST_00226,914,46,29,17,0.6304,4732.77,UPI
CUST_00227,217,34,31,3,0.9118,2309.98,UPI
CUST_00228,1406,39,29,10,0.7436,1038.55,UPI
CUST_00229,388,65,52,13,0.8,1338.48,Wallet
CUST_00230,599,28,26,2,0.9286,3553.61,Wallet
CUST_00231,1330,67,25,42,0.3731,1324.44,Wallet
CUST_00232,742,57,38,19,0.6667,2569.64,NetBanking
CUST_00233,1402,18,18,0,1.0,2279.93,Card
CUST_00234,705,57,48,9,0.8421,1399.51,NetBanking
CUST_00235,1386,56,51,5,0.9107,9904.66,UPI
CUST_00236,961,16,9,7,0.5625,3441.78,NetBanking
CUST_00237,692,19,17,2,0.8947,535.07,Wallet
CUST_00238,1083,5,5,0,1.0,2516.23,Wallet
CUST_00239,876,11,6,5,0.5455,1389.57,NetBanking
CUST_00240,1305,68,60,8,0.8824,4010.63,Wallet
CUST_00241,135,31,17,14,0.5484,1268.05,Card
CUST_00242,619,61,49,12,0.8033,2037.92,UPI
CUST_00243,89,35,32,3,0.9143,3144.75,Card
CUST_00244,666,75,22,53,0.2933,4048.2,Wallet
CUST_00245,220,33,12,21,0.3636,953.17,Wallet
CUST_00246,270,24,22,2,0.9167,1747.34,NetBanking
CUST_00247,1072,39,24,15,0.6154,1583.73,Wallet
CUST_00248,997,36,24,12,0.6667,1397.82,Card
CUST_00249,815,29,27,2,0.931,7599.35,Card
CUST_00250,172,40,36,4,0.9,2932.14,Wallet
CUST_00251,726,69,37,32,0.5362,913.59,UPI
CUST_00252,609,43,43,0,1.0,4198.59,Card
CUST_00253,944,73,51,22,0.6986,9754.75,NetBanking
CUST_00254,710,75,70,5,0.9333,4549.29,Wallet
CUST_00255,962,46,25,21,0.5435,762.38,Card
CUST_00256,1201,54,30,24,0.5556,1573.47,Wallet
CUST_00257,119,45,43,2,0.9556,5360.64,Wallet
CUST_00258,820,24,22,2,0.9167,1345.65,UPI
CUST_00259,288,69,57,12,0.8261,3012.95,NetBanking
CUST_00260,235,61,24,37,0.3934,3798.05,Wallet
CUST_00261,61,23,19,4,0.8261,1154.18,Card
CUST_00262,183,65,35,30,0.5385,2118.22,NetBanking
CUST_00263,1306,55,21,34,0.3818,228.4,NetBanking
CUST_00264,1411,73,45,28,0.6164,1078.07,NetBanking
CUST_00265,1313,67,54,13,0.806,1850.48,UPI
CUST_00266,1294,13,6,7,0.4615,922.01,NetBanking
CUST_00267,495,16,10,6,0.625,6923.58,UPI
CUST_00268,1327,17,12,5,0.7059,811.51,Card
CUST_00269,1451,43,13,30,0.3023,1622.9,UPI
CUST_00270,694,12,7,5,0.5833,2419.99,NetBanking
CUST_00271,797,60,27,33,0.45,6056.52,Card
CUST_00272,1117,57,53,4,0.9298,808.27,Card
CUST_00273,378,27,10,17,0.3704,4985.13,Wallet
CUST_00274,1299,35,25,10,0.7143,2224.22,Card
CUST_00275,505,64,59,5,0.9219,1110.92,NetBanking
CUST_00276,971,37,32,5,0.8649,3051.76,UPI
CUST_00277,982,41,33,8,0.8049,2538.53,Card
CUST_00278,181,61,40,21,0.6557,1450.77,NetBanking
CUST_00279,1338,59,33,26,0.5593,2318.93,Wallet
CUST_00280,648,30,21,9,0.7,1686.28,Wallet
CUST_00281,248,35,22,13,0.6286,2390.99,NetBanking
CUST_00282,1207,42,34,8,0.8095,3510.42,NetBanking
CUST_00283,74,55,33,22,0.6,6702.34,UPI
CUST_00284,1189,11,10,1,0.9091,928.46,NetBanking
CUST_00285,501,50,29,21,0.58,9829.3,Card
CUST_00286,1301,37,32,5,0.8649,563.15,Card
CUST_00287,1316,17,15,2,0.8824,1985.75,UPI
CUST_00288,662,61,20,41,0.3279,3333.65,NetBanking
CUST_00289,299,16,8,8,0.5,2688.38,NetBanking
CUST_00290,880,27,14,13,0.5185,1428.11,Card
CUST_00291,1134,51,48,3,0.9412,1908.96,NetBanking
CUST_00292,366,37,37,0,1.0,1563.84,Wallet
CUST_00293,634,48,21,27,0.4375,1461.83,Wallet
CUST_00294,184,23,13,10,0.5652,4002.69,Wallet
CUST_00295,1171,51,20,31,0.3922,2835.32,Wallet
CUST_00296,58,38,28,10,0.7368,1359.62,UPI
CUST_00297,961,52,31,21,0.5962,4145.26,Wallet
CUST_00298,1337,52,21,31,0.4038,2738.35,Card
CUST_00299,995,8,6,2,0.75,3901.06,NetBanking
CUST_00300,1279,33,29,4,0.8788,3431.46,UPI
CUST_00301,1331,64,63,1,0.9844,1236.08,NetBanking
CUST_00302,1359,57,24,33,0.4211,1492.0,Card
CUST_00303,122,9,6,3,0.6667,3726.06,Wallet
CUST_00304,267,17,8,9,0.4706,3385.51,Card
CUST_00305,825,63,41,22,0.6508,2176.27,Wallet
CUST_00306,1232,24,20,4,0.8333,2397.37,UPI
CUST_00307,1032,57,34,23,0.5965,5401.14,UPI
CUST_00308,1443,52,28,24,0.5385,1459.57,Wallet
CUST_00309,940,35,21,14,0.6,3238.83,UPI
CUST_00310,1434,52,49,3,0.9423,1916.9,NetBanking
CUST_00311,154,55,33,22,0.6,1896.23,Card
CUST_00312,280,63,23,40,0.3651,4765.43,Card
CUST_00313,1344,7,2,5,0.2857,3935.49,NetBanking
CUST_00314,528,21,12,9,0.5714,3902.83,UPI
CUST_00315,1165,31,27,4,0.871,5507.33,Card
CUST_00316,507,47,23,24,0.4894,2241.06,UPI
CUST_00317,597,23,10,13,0.4348,3559.47,NetBanking
CUST_00318,387,19,15,4,0.7895,1777.23,UPI
CUST_00319,299,6,3,3,0.5,2770.87,Card
CUST_00320,1235,46,14,32,0.3043,2016.06,Card
CUST_00321,573,11,5,6,0.4545,2363.5,Wallet
CUST_00322,1107,19,16,3,0.8421,3349.65,UPI
CUST_00323,1005,62,41,21,0.6613,1245.44,UPI
CUST_00324,955,69,34,35,0.4928,9553.58,UPI
CUST_00325,1379,71,40,31,0.5634,1092.02,Wallet
CUST_00326,1347,8,2,6,0.25,943.95,Wallet
CUST_00327,852,59,23,36,0.3898,4967.53,Wallet
CUST_00328,1488,61,22,39,0.3607,3843.6,UPI
CUST_00329,689,23,8,15,0.3478,3418.25,Card
CUST_00330,593,79,58,21,0.7342,3428.38,NetBanking
CUST_00331,810,72,39,33,0.5417,2189.5,Wallet
CUST_00332,1065,60,24,36,0.4,1178.41,UPI
CUST_00333,1370,75,68,7,0.9067,2328.69,Card
CUST_00334,910,62,32,30,0.5161,1374.69,Wallet
CUST_00335,724,63,43,20,0.6825,4370.29,Wallet
CUST_00336,224,45,40,5,0.8889,1992.33,NetBanking
CUST_00337,1392,37,22,15,0.5946,1239.11,Card
CUST_00338,1436,65,23,42,0.3538,1763.45,UPI
CUST_00339,204,16,10,6,0.625,2948.5,UPI
CUST_00340,793,21,7,14,0.3333,1488.3,NetBanking
CUST_00341,1402,20,12,8,0.6,1241.96,NetBanking
CUST_00342,1392,59,20,39,0.339,2619.09,NetBanking
CUST_00343,1259,44,35,9,0.7955,2621.43,UPI
CUST_00344,1213,69,33,36,0.4783,1548.65,Card
CUST_00345,1374,66,33,33,0.5,1588.07,UPI
CUST_00346,747,76,45,31,0.5921,2597.84,UPI
CUST_00347,600,78,37,41,0.4744,801.38,Wallet
CUST_00348,1178,76,23,53,0.3026,824.5,NetBanking
CUST_00349,89,28,16,12,0.5714,1335.54,NetBanking
CUST_00350,725,49,14,35,0.2857,1901.86,Card
CUST_00351,323,77,65,12,0.8442,2745.27,Wallet
CUST_00352,172,23,6,17,0.2609,6202.76,UPI
CUST_00353,1116,32,21,11,0.6562,4025.33,Wallet
CUST_00354,959,48,24,24,0.5,1974.45,NetBanking
CUST_00355,668,46,18,28,0.3913,2179.15,UPI
CUST_00356,348,25,8,17,0.32,1094.69,UPI
CUST_00357,587,61,60,1,0.9836,2179.91,Wallet
CUST_00358,1024,61,44,17,0.7213,1804.32,NetBanking
CUST_00359,471,70,28,42,0.4,2768.06,NetBanking
CUST_00360,910,19,9,10,0.4737,1237.61,Wallet
CUST_00361,1109,44,15,29,0.3409,3176.52,Card
CUST_00362,839,12,3,9,0.25,6456.98,Card
CUST_00363,647,32,13,19,0.4062,2046.46,NetBanking
CUST_00364,622,46,20,26,0.4348,2925.43,UPI
CUST_00365,1048,60,29,31,0.4833,3579.94,Card
CUST_00366,808,73,66,7,0.9041,1667.61,Card
CUST_00367,1054,76,75,1,0.9868,2583.41,NetBanking
CUST_00368,177,55,18,37,0.3273,2227.9,Wallet
CUST_00369,68,63,22,41,0.3492,2364.62,NetBanking
CUST_00370,1209,59,53,6,0.8983,1285.49,Wallet
CUST_00371,1483,58,35,23,0.6034,2246.56,UPI
CUST_00372,859,7,4,3,0.5714,3129.41,Card
CUST_00373,1295,63,62,1,0.9841,6098.51,NetBanking
CUST_00374,210,60,24,36,0.4,4322.07,Card
CUST_00375,922,80,49,31,0.6125,9968.92,UPI
CUST_00376,840,44,34,10,0.7727,1290.59,Card
CUST_00377,712,26,9,17,0.3462,4066.85,UPI
CUST_00378,1116,70,33,37,0.4714,2510.76,NetBanking
CUST_00379,749,23,13,10,0.5652,10227.77,UPI
CUST_00380,329,37,17,20,0.4595,1254.12,Card
CUST_00381,1263,24,9,15,0.375,1226.84,Card
CUST_00382,1316,68,49,19,0.7206,1451.61,Wallet
CUST_00383,1424,77,64,13,0.8312,499.33,NetBanking
CUST_00384,1314,45,22,23,0.4889,1528.39,Wallet
CUST_00385,169,65,47,18,0.7231,1298.04,NetBanking
CUST_00386,592,80,27,53,0.3375,2453.51,NetBanking
CUST_00387,1069,14,8,6,0.5714,2805.2,Wallet
CUST_00388,955,9,2,7,0.2222,8211.74,NetBanking
CUST_00389,617,14,14,0,1.0,4295.39,UPI
CUST_00390,1289,69,44,25,0.6377,1474.64,Wallet
CUST_00391,1218,75,72,3,0.96,1177.45,UPI
CUST_00392,951,78,64,14,0.8205,3116.12,Card
CUST_00393,688,65,51,14,0.7846,876.41,Card
CUST_00394,156,62,24,38,0.3871,7958.7,NetBanking
CUST_00395,1492,15,12,3,0.8,5042.25,Card
CUST_00396,110,36,32,4,0.8889,1590.14,Wallet
CUST_00397,929,72,54,18,0.75,665.68,Card
CUST_00398,775,52,33,19,0.6346,5697.09,Wallet
CUST_00399,867,48,17,31,0.3542,2038.2,NetBanking
CUST_00400,164,47,20,27,0.4255,5252.56,Wallet
CUST_00401,611,37,34,3,0.9189,723.36,Card
CUST_00402,712,15,13,2,0.8667,1451.62,Card
CUST_00403,746,44,38,6,0.8636,2216.47,Card
CUST_00404,1248,15,8,7,0.5333,2282.18,Wallet
CUST_00405,1347,47,22,25,0.4681,1611.55,UPI
CUST_00406,1353,59,49,10,0.8305,3415.21,NetBanking
CUST_00407,67,51,34,17,0.6667,1045.93,Card
CUST_00408,468,48,45,3,0.9375,1998.86,Card
CUST_00409,493,22,10,12,0.4545,2402.36,UPI
CUST_00410,635,17,13,4,0.7647,3165.63,UPI
CUST_00411,1385,48,22,26,0.4583,3634.15,Wallet
CUST_00412,345,25,12,13,0.48,1005.01,Card
CUST_00413,926,10,9,1,0.9,754.55,NetBanking
CUST_00414,1415,35,24,11,0.6857,5401.19,NetBanking
CUST_00415,949,34,27,7,0.7941,2786.72,Card
CUST_00416,663,65,31,34,0.4769,1307.74,NetBanking
CUST_00417,1419,78,51,27,0.6538,6540.75,Wallet
CUST_00418,607,53,47,6,0.8868,2394.6,Wallet
CUST_00419,361,30,28,2,0.9333,5041.75,Card
CUST_00420,542,11,10,1,0.9091,2315.23,NetBanking
CUST_00421,1165,18,16,2,0.8889,9344.32,UPI
CUST_00422,613,15,6,9,0.4,7545.74,NetBanking
CUST_00423,950,70,30,40,0.4286,1855.16,Wallet
CUST_00424,217,33,23,10,0.697,4359.44,NetBanking
CUST_00425,84,58,20,38,0.3448,3469.49,Wallet
CUST_00426,1058,52,30,22,0.5769,5756.25,Wallet
CUST_00427,197,52,29,23,0.5577,1123.89,UPI
CUST_00428,682,17,16,1,0.9412,3569.7,NetBanking
CUST_00429,329,22,7,15,0.3182,4632.71,NetBanking
CUST_00430,997,22,21,1,0.9545,644.76,Wallet
CUST_00431,1290,5,1,4,0.2,964.61,UPI
CUST_00432,554,32,13,19,0.4062,529.82,Wallet
CUST_00433,257,41,19,22,0.4634,1828.8,NetBanking
CUST_00434,279,11,6,5,0.5455,3649.26,Wallet
CUST_00435,1338,63,22,41,0.3492,6321.11,UPI
CUST_00436,1053,73,22,51,0.3014,2325.91,Card
CUST_00437,324,42,25,17,0.5952,6905.21,UPI
CUST_00438,1289,50,30,20,0.6,840.44,Wallet
CUST_00439,413,15,12,3,0.8,670.24,NetBanking
CUST_00440,168,72,55,17,0.7639,2124.13,UPI
CUST_00441,829,65,21,44,0.3231,2889.52,Wallet
CUST_00442,794,37,34,3,0.9189,2158.38,UPI
CUST_00443,761,13,8,5,0.6154,519.46,Card
CUST_00444,1375,18,17,1,0.9444,2074.79,NetBanking
CUST_00445,303,10,8,2,0.8,886.14,NetBanking
CUST_00446,1346,27,22,5,0.8148,3529.0,Wallet
CUST_00447,1323,28,12,16,0.4286,2854.41,UPI
CUST_00448,1496,63,20,43,0.3175,1143.77,NetBanking
CUST_00449,442,10,6,4,0.6,1541.16,UPI
CUST_00450,676,44,38,6,0.8636,1052.11,Wallet
CUST_00451,548,9,5,4,0.5556,2113.55,NetBanking
CUST_00452,761,11,8,3,0.7273,4309.6,NetBanking
CUST_00453,284,52,42,10,0.8077,1107.65,Wallet
CUST_00454,930,54,37,17,0.6852,3142.68,Card
CUST_00455,1046,68,43,25,0.6324,1523.58,NetBanking
CUST_00456,199,59,22,37,0.3729,1267.74,Wallet
CUST_00457,1263,28,25,3,0.8929,2048.94,NetBanking
CUST_00458,687,18,6,12,0.3333,1069.91,NetBanking
CUST_00459,1383,42,21,21,0.5,1498.84,Wallet
CUST_00460,1264,59,27,32,0.4576,954.78,Wallet
CUST_00461,749,62,20,42,0.3226,8736.87,NetBanking
CUST_00462,1289,60,35,25,0.5833,2263.54,UPI
CUST_00463,183,56,39,17,0.6964,1353.15,Card
CUST_00464,93,23,20,3,0.8696,2565.19,UPI
CUST_00465,288,13,6,7,0.4615,2041.36,NetBanking
CUST_00466,771,54,52,2,0.963,1891.87,UPI
CUST_00467,1269,24,21,3,0.875,3394.52,NetBanking
CUST_00468,791,61,22,39,0.3607,3752.79,Card
