transaction_id,amount,failure_reason,payment_method,attempt_number,historical_success_rate,risk_score,risk_level,revenue_at_risk,recovery_eligible
TXN_000193,2417.11,bank_timeout,NetBanking,1,0.9865,0.7075,CRITICAL,2417.11,True
TXN_000197,303.88,bank_declined,UPI,1,1.0,0.6485,HIGH,303.88,True
TXN_000199,3372.59,bank_declined,Wallet,1,0.3385,0.4814,MEDIUM,3372.59,True
TXN_000202,6336.02,authentication_failure,UPI,1,0.7097,0.607,HIGH,6336.02,True
TXN_000203,3151.78,bank_declined,UPI,1,0.4,0.499,MEDIUM,3151.78,True
TXN_000212,973.57,bank_timeout,UPI,2,0.4375,0.4709,MEDIUM,973.57,True
TXN_000214,613.61,expired_card,Card,2,0.8393,0.5314,MEDIUM,613.61,True
TXN_000218,3532.1,bank_declined,Card,1,1.0,0.6804,HIGH,3532.1,True
TXN_000221,7615.16,bank_declined,Wallet,1,0.9259,0.5982,MEDIUM,7615.16,True
TXN_000224,1278.43,bank_declined,UPI,3,0.3462,0.3511,MEDIUM,1278.43,False
TXN_000237,2107.89,insufficient_funds,Card,2,0.9688,0.5954,MEDIUM,2107.89,True
TXN_000243,4157.79,network_error,NetBanking,2,0.8704,0.6137,HIGH,4157.79,True
TXN_000245,1489.5,network_error,UPI,2,0.4677,0.4795,MEDIUM,1489.5,True
TXN_000246,1012.2,network_error,UPI,1,0.5769,0.5672,MEDIUM,1012.2,True
TXN_000247,4551.21,network_error,Card,1,0.6267,0.6018,HIGH,4551.21,True
TXN_000248,9316.98,authentication_failure,Card,2,0.8214,0.5855,MEDIUM,9316.98,True
TXN_000253,4813.99,bank_timeout,UPI,1,0.8125,0.6642,HIGH,4813.99,True
TXN_000254,2304.73,bank_declined,Card,1,0.6471,0.569,MEDIUM,2304.73,True
TXN_000256,4975.63,expired_card,Card,1,0.3607,0.4751,MEDIUM,4975.63,True
TXN_000258,2539.74,bank_timeout,UPI,2,0.8438,0.6053,HIGH,2539.74,True
TXN_000260,4268.69,insufficient_funds,Wallet,1,0.6522,0.5696,MEDIUM,4268.69,True
TXN_000262,1602.26,authentication_failure,UPI,2,0.4925,0.4639,MEDIUM,1602.26,True
TXN_000263,5870.66,bank_declined,UPI,1,0.3043,0.4084,MEDIUM,5870.66,True
TXN_000266,1783.6,network_error,Card,1,0.6415,0.594,MEDIUM,1783.6,True
TXN_000268,4216.9,bank_timeout,UPI,2,0.931,0.6381,HIGH,4216.9,True
TXN_000269,6435.31,bank_timeout,UPI,1,0.5385,0.5158,MEDIUM,6435.31,True
TXN_000270,1816.34,bank_declined,NetBanking,1,0.4333,0.5018,MEDIUM,1816.34,True
TXN_000274,827.05,bank_declined,Card,1,1.0,0.6615,HIGH,827.05,True
TXN_000275,5944.08,authentication_failure,UPI,2,0.3026,0.424,MEDIUM,5944.08,True
TXN_000280,6559.37,authentication_failure,Card,3,0.6,0.4545,MEDIUM,6559.37,False
TXN_000286,1830.21,bank_timeout,UPI,2,0.8,0.5179,MEDIUM,1830.21,True
TXN_000289,1128.89,bank_declined,UPI,1,0.5455,0.5292,MEDIUM,1128.89,True
TXN_000296,4974.89,bank_timeout,UPI,2,1.0,0.6609,HIGH,4974.89,True
TXN_000297,557.27,authentication_failure,UPI,1,0.7213,0.5788,MEDIUM,557.27,True
TXN_000301,765.31,authentication_failure,Card,1,0.7222,0.5832,MEDIUM,765.31,True
TXN_000311,862.93,network_error,Card,1,0.8636,0.6512,HIGH,862.93,True
TXN_000312,4670.95,authentication_failure,UPI,1,0.6471,0.5842,MEDIUM,4670.95,True
TXN_000313,4698.61,bank_timeout,NetBanking,1,0.5714,0.5916,MEDIUM,4698.61,True
TXN_000314,994.23,network_error,UPI,2,0.5625,0.4327,MEDIUM,994.23,True
TXN_000315,5508.95,authentication_failure,Card,2,0.3,0.4222,MEDIUM,5508.95,True
TXN_000320,5641.21,network_error,Card,1,0.6667,0.5466,MEDIUM,5641.21,True
TXN_000321,2031.41,bank_declined,Card,2,0.3284,0.4118,MEDIUM,2031.41,True
TXN_000322,717.03,network_error,Card,1,0.4348,0.5201,MEDIUM,717.03,True
TXN_000328,1079.52,authentication_failure,UPI,2,0.3684,0.3515,MEDIUM,1079.52,True
TXN_000329,2122.85,bank_declined,Card,1,0.8286,0.6224,HIGH,2122.85,True
TXN_000334,675.02,bank_timeout,NetBanking,1,0.377,0.508,MEDIUM,675.02,True
TXN_000336,868.0,bank_declined,UPI,1,0.7125,0.5759,MEDIUM,868.0,True
TXN_000337,1632.1,network_error,Card,1,0.8596,0.6583,HIGH,1632.1,True
TXN_000343,1254.56,bank_timeout,UPI,1,0.931,0.6823,HIGH,1254.56,True
TXN_000352,4421.11,bank_timeout,UPI,2,0.7273,0.5776,MEDIUM,4421.11,True
TXN_000355,4963.33,bank_declined,UPI,2,0.6786,0.5285,MEDIUM,4963.33,True
TXN_000358,2064.31,bank_declined,NetBanking,2,0.9851,0.609,HIGH,2064.31,True
TXN_000359,16172.99,bank_declined,Wallet,1,0.5513,0.5657,MEDIUM,16172.99,True
TXN_000362,4347.04,bank_timeout,Wallet,1,0.7231,0.6361,HIGH,4347.04,True
TXN_000363,7805.69,bank_timeout,UPI,1,0.6471,0.6209,HIGH,7805.69,True
TXN_000371,1790.58,bank_declined,UPI,1,0.9859,0.6674,HIGH,1790.58,True
TXN_000372,2490.68,insufficient_funds,Card,1,0.9459,0.6507,HIGH,2490.68,True
TXN_000378,4677.71,bank_timeout,UPI,1,0.5714,0.5915,MEDIUM,4677.71,True
TXN_000381,3203.63,expired_card,Card,1,0.4375,0.4924,MEDIUM,3203.63,True
TXN_000382,5295.16,authentication_failure,Card,1,0.4706,0.4629,MEDIUM,5295.16,True
TXN_000387,6606.07,bank_timeout,UPI,1,0.5,0.5746,MEDIUM,6606.07,True
TXN_000391,3786.16,network_error,NetBanking,1,0.2,0.4013,MEDIUM,3786.16,True
TXN_000395,413.46,bank_timeout,NetBanking,1,0.6897,0.5254,MEDIUM,413.46,True
TXN_000397,2807.84,authentication_failure,UPI,2,0.3973,0.4426,MEDIUM,2807.84,True
TXN_000401,3590.87,bank_timeout,UPI,1,0.9375,0.6979,HIGH,3590.87,True
TXN_000403,12647.75,bank_declined,UPI,1,0.2791,0.4808,MEDIUM,12647.75,True
TXN_000405,1163.16,bank_timeout,UPI,1,0.2727,0.4838,MEDIUM,1163.16,True
TXN_000413,1383.45,authentication_failure,UPI,3,0.451,0.3895,MEDIUM,1383.45,False
TXN_000415,1906.86,bank_timeout,UPI,1,0.4118,0.532,MEDIUM,1906.86,True
TXN_000416,3450.82,bank_timeout,UPI,1,0.6883,0.6226,HIGH,3450.82,True
TXN_000420,686.23,bank_declined,UPI,1,0.9259,0.6369,HIGH,686.23,True
TXN_000423,1218.49,authentication_failure,UPI,2,0.4,0.4326,MEDIUM,1218.49,True
TXN_000430,1164.05,bank_timeout,UPI,2,0.5778,0.5153,MEDIUM,1164.05,True
TXN_000431,1192.4,bank_timeout,UPI,1,0.303,0.4932,MEDIUM,1192.4,True
TXN_000435,2022.93,network_error,Card,1,0.7188,0.6188,HIGH,2022.93,True
TXN_000444,9965.62,bank_declined,Card,2,0.803,0.5749,MEDIUM,9965.62,True
TXN_000445,3332.0,insufficient_funds,Card,2,0.9,0.5807,MEDIUM,3332.0,True
TXN_000446,6495.44,network_error,Card,1,0.619,0.6041,HIGH,6495.44,True
TXN_000452,6567.91,bank_timeout,UPI,1,0.3492,0.5293,MEDIUM,6567.91,True
TXN_000463,1468.08,insufficient_funds,Card,1,0.8571,0.5471,MEDIUM,1468.08,True
TXN_000465,2105.65,bank_timeout,UPI,1,0.8788,0.6733,HIGH,2105.65,True
TXN_000468,6767.59,expired_card,Card,2,0.8571,0.568,MEDIUM,6767.59,True
TXN_000473,4165.84,bank_timeout,UPI,1,0.3478,0.5229,MEDIUM,4165.84,True
TXN_000474,2606.06,bank_declined,Wallet,1,0.6933,0.5845,MEDIUM,2606.06,True
TXN_000475,7821.71,authentication_failure,UPI,1,0.3333,0.4968,MEDIUM,7821.71,True
TXN_000479,3387.37,bank_declined,Card,1,1.0,0.6799,HIGH,3387.37,True
TXN_000481,4265.53,bank_declined,NetBanking,2,0.6098,0.5058,MEDIUM,4265.53,True
TXN_000482,1663.05,insufficient_funds,Card,1,0.2222,0.4283,MEDIUM,1663.05,True
TXN_000487,5751.61,expired_card,Card,1,0.6491,0.4935,MEDIUM,5751.61,True
TXN_000488,5182.53,bank_timeout,UPI,1,0.3095,0.5143,MEDIUM,5182.53,True
TXN_000490,10378.02,bank_declined,Wallet,1,0.9362,0.6053,HIGH,10378.02,True
TXN_000491,1238.79,bank_timeout,Wallet,1,0.5714,0.5742,MEDIUM,1238.79,True
TXN_000492,1020.75,bank_timeout,UPI,1,0.7895,0.6371,HIGH,1020.75,True
TXN_000494,792.78,bank_declined,Card,2,0.6066,0.483,MEDIUM,792.78,True
TXN_000495,5023.2,insufficient_funds,Card,1,0.6098,0.559,MEDIUM,5023.2,True
TXN_000496,8229.06,bank_timeout,UPI,1,0.6129,0.6113,HIGH,8229.06,True
TXN_000498,1441.92,authentication_failure,NetBanking,1,0.5714,0.5462,MEDIUM,1441.92,True
TXN_000499,1018.87,insufficient_funds,Card,1,0.6429,0.5481,MEDIUM,1018.87,True
TXN_000508,4810.42,bank_declined,Wallet,1,0.8485,0.639,HIGH,4810.42,True
TXN_000516,507.7,authentication_failure,Card,2,0.3492,0.336,MEDIUM,507.7,True
TXN_000518,2634.04,bank_declined,UPI,1,0.8947,0.645,HIGH,2634.04,True
TXN_000521,1875.15,bank_declined,Card,1,0.5769,0.5453,MEDIUM,1875.15,True
TXN_000522,3190.86,bank_declined,NetBanking,3,0.3673,0.3693,MEDIUM,3190.86,False
TXN_000523,3552.53,bank_declined,Wallet,1,0.85,0.6355,HIGH,3552.53,True
TXN_000524,4471.28,bank_declined,Card,2,0.913,0.5974,MEDIUM,4471.28,True
TXN_000527,2365.05,bank_declined,NetBanking,1,0.8462,0.6291,HIGH,2365.05,True
TXN_000533,7066.68,bank_timeout,UPI,2,0.4444,0.4988,MEDIUM,7066.68,True
TXN_000536,5535.67,bank_declined,UPI,2,0.3226,0.4231,MEDIUM,5535.67,True
TXN_000545,796.76,bank_timeout,UPI,1,0.5532,0.493,MEDIUM,796.76,True
TXN_000548,4955.16,network_error,UPI,1,0.5,0.5649,MEDIUM,4955.16,True
TXN_000552,1046.15,expired_card,Card,1,0.3478,0.4509,MEDIUM,1046.15,True
TXN_000555,5481.7,network_error,NetBanking,1,0.6481,0.6106,HIGH,5481.7,True
TXN_000558,6533.51,authentication_failure,Card,1,0.375,0.437,MEDIUM,6533.51,True
TXN_000559,3828.79,network_error,UPI,1,0.3,0.5015,MEDIUM,3828.79,True
TXN_000561,1595.95,network_error,UPI,1,0.8333,0.6501,HIGH,1595.95,True
TXN_000567,2527.06,bank_declined,UPI,1,0.5897,0.553,MEDIUM,2527.06,True
TXN_000569,1925.06,authentication_failure,Card,1,0.8947,0.647,HIGH,1925.06,True
TXN_000570,971.84,bank_timeout,UPI,2,0.9821,0.6343,HIGH,971.84,True
TXN_000572,9940.58,insufficient_funds,Card,1,0.5556,0.5516,MEDIUM,9940.58,True
TXN_000574,2163.17,authentication_failure,UPI,1,1.0,0.6801,HIGH,2163.17,True
TXN_000577,1330.59,authentication_failure,UPI,2,0.9545,0.6001,HIGH,1330.59,True
TXN_000578,4016.51,authentication_failure,Card,1,0.5625,0.5569,MEDIUM,4016.51,True
TXN_000581,1472.53,authentication_failure,UPI,1,0.5577,0.4724,MEDIUM,1472.53,True
TXN_000586,2085.63,network_error,UPI,1,0.8904,0.6707,HIGH,2085.63,True
TXN_000591,1943.22,network_error,Card,1,0.4717,0.5442,MEDIUM,1943.22,True
TXN_000592,2011.83,bank_declined,UPI,1,0.8214,0.5495,MEDIUM,2011.83,True
TXN_000596,932.1,bank_declined,UPI,1,0.8696,0.624,HIGH,932.1,True
TXN_000600,865.33,bank_declined,UPI,1,0.9333,0.6421,HIGH,865.33,True
TXN_000601,2821.83,bank_timeout,NetBanking,1,0.6667,0.6135,HIGH,2821.83,True
TXN_000602,1562.53,network_error,UPI,1,0.95,0.6848,HIGH,1562.53,True
TXN_000606,3860.31,bank_declined,Card,2,0.8974,0.5908,MEDIUM,3860.31,True
TXN_000611,3228.72,insufficient_funds,Card,1,0.4333,0.4303,MEDIUM,3228.72,True
TXN_000616,5076.17,insufficient_funds,Card,2,0.3462,0.42,MEDIUM,5076.17,True
TXN_000618,1467.85,bank_timeout,UPI,2,0.3182,0.4405,MEDIUM,1467.85,True
TXN_000623,3277.99,network_error,UPI,1,0.8814,0.6739,HIGH,3277.99,True
TXN_000630,9540.34,insufficient_funds,Card,1,0.7206,0.6006,HIGH,9540.34,True
TXN_000631,2322.49,bank_declined,Card,1,0.4839,0.5202,MEDIUM,2322.49,True
TXN_000635,8521.19,network_error,UPI,1,0.7778,0.6553,HIGH,8521.19,True
TXN_000640,14400.59,network_error,Card,1,0.625,0.6163,HIGH,14400.59,True
TXN_000641,3091.77,bank_declined,UPI,1,0.898,0.5781,MEDIUM,3091.77,True
TXN_000642,7954.93,insufficient_funds,Wallet,1,0.9851,0.6776,HIGH,7954.93,True
TXN_000645,1523.71,authentication_failure,UPI,3,0.4419,0.3881,MEDIUM,1523.71,False
TXN_000647,1585.57,bank_timeout,UPI,1,0.8,0.576,MEDIUM,1585.57,True
TXN_000653,1374.25,network_error,UPI,1,1.0,0.6982,HIGH,1374.25,True
TXN_000655,2850.6,authentication_failure,UPI,2,0.3725,0.4354,MEDIUM,2850.6,True
TXN_000657,1010.47,bank_declined,UPI,1,0.5645,0.5335,MEDIUM,1010.47,True
TXN_000658,3384.24,bank_declined,UPI,1,0.6,0.5599,MEDIUM,3384.24,True
TXN_000659,1247.79,authentication_failure,NetBanking,1,0.913,0.5768,MEDIUM,1247.79,True
TXN_000663,3521.74,bank_declined,UPI,1,0.7436,0.5335,MEDIUM,3521.74,True
TXN_000669,3083.3,bank_timeout,UPI,2,0.4262,0.4825,MEDIUM,3083.3,True
TXN_000671,447.39,bank_declined,UPI,2,0.5946,0.4719,MEDIUM,447.39,True
TXN_000674,1636.34,network_error,NetBanking,1,0.6667,0.6004,HIGH,1636.34,True
TXN_000682,3665.11,bank_timeout,NetBanking,1,0.4545,0.5533,MEDIUM,3665.11,True
TXN_000695,1702.73,network_error,Card,1,0.5263,0.5588,MEDIUM,1702.73,True
TXN_000696,1590.39,authentication_failure,UPI,1,0.4,0.4961,MEDIUM,1590.39,True
TXN_000701,2120.8,network_error,Card,1,0.8793,0.6676,HIGH,2120.8,True
TXN_000702,2639.79,bank_timeout,UPI,1,0.4615,0.5511,MEDIUM,2639.79,True
TXN_000705,2088.59,authentication_failure,UPI,3,0.4444,0.3929,MEDIUM,2088.59,False
TXN_000707,2986.31,network_error,UPI,1,0.7273,0.5564,MEDIUM,2986.31,True
TXN_000710,5368.8,bank_declined,UPI,1,0.8462,0.6398,HIGH,5368.8,True
TXN_000711,1695.22,bank_declined,Card,2,1.0,0.5409,MEDIUM,1695.22,True
TXN_000716,2031.16,network_error,Card,2,0.8983,0.6127,HIGH,2031.16,True
TXN_000721,2095.6,authentication_failure,UPI,2,0.7358,0.5404,MEDIUM,2095.6,True
TXN_000727,6404.75,network_error,Wallet,1,0.7143,0.6325,HIGH,6404.75,True
TXN_000735,1007.24,network_error,UPI,2,0.4237,0.4612,MEDIUM,1007.24,True
TXN_000747,816.76,network_error,UPI,1,0.84,0.6434,HIGH,816.76,True
TXN_000753,2863.64,authentication_failure,UPI,1,0.5455,0.5474,MEDIUM,2863.64,True
TXN_000754,6753.95,bank_timeout,Wallet,1,0.675,0.5574,MEDIUM,6753.95,True
TXN_000756,649.43,bank_timeout,NetBanking,1,1.0,0.6944,HIGH,649.43,True
TXN_000758,2629.89,bank_timeout,UPI,1,0.6667,0.6126,HIGH,2629.89,True
TXN_000759,16803.48,authentication_failure,UPI,1,0.7308,0.626,HIGH,16803.48,True
TXN_000766,903.79,network_error,UPI,1,0.8983,0.5922,MEDIUM,903.79,True
TXN_000767,2155.53,authentication_failure,UPI,1,0.7273,0.5982,MEDIUM,2155.53,True
TXN_000771,3809.46,bank_declined,UPI,1,0.6,0.5614,MEDIUM,3809.46,True
TXN_000772,3600.5,bank_declined,Card,1,1.0,0.6807,HIGH,3600.5,True
TXN_000776,7048.97,authentication_failure,Card,2,0.9259,0.6132,HIGH,7048.97,True
TXN_000779,5601.01,expired_card,Card,1,0.3333,0.4684,MEDIUM,5601.01,True
TXN_000784,1684.92,bank_declined,Card,1,0.8929,0.6387,HIGH,1684.92,True
TXN_000791,2508.78,bank_timeout,NetBanking,1,0.5385,0.5735,MEDIUM,2508.78,True
TXN_000792,1441.44,network_error,Card,1,0.75,0.6238,HIGH,1441.44,True
TXN_000793,1112.28,insufficient_funds,Card,1,0.75,0.5814,MEDIUM,1112.28,True
TXN_000800,2767.16,network_error,UPI,1,0.4444,0.5406,MEDIUM,2767.16,True
TXN_000802,4322.93,bank_declined,UPI,1,0.4,0.5031,MEDIUM,4322.93,True
TXN_000805,3430.26,network_error,UPI,2,0.6866,0.556,MEDIUM,3430.26,True
TXN_000812,1564.88,bank_timeout,UPI,2,0.3824,0.4606,MEDIUM,1564.88,True
TXN_000816,1870.03,insufficient_funds,Card,2,0.4,0.4232,MEDIUM,1870.03,True
TXN_000820,9936.26,network_error,UPI,1,0.6905,0.6311,HIGH,9936.26,True
TXN_000821,2922.55,insufficient_funds,Card,1,0.697,0.5081,MEDIUM,2922.55,True
TXN_000825,9004.55,bank_declined,UPI,1,0.5333,0.4826,MEDIUM,9004.55,True
TXN_000827,4537.47,bank_timeout,NetBanking,1,0.5333,0.5797,MEDIUM,4537.47,True
TXN_000828,2943.1,bank_timeout,NetBanking,1,0.6667,0.6141,HIGH,2943.1,True
TXN_000830,2730.63,bank_declined,UPI,2,0.5714,0.4885,MEDIUM,2730.63,True
TXN_000832,2103.43,authentication_failure,Card,1,0.9,0.6497,HIGH,2103.43,True
TXN_000840,3414.16,insufficient_funds,Card,2,0.7778,0.5443,MEDIUM,3414.16,True
TXN_000842,5616.03,authentication_failure,Card,1,0.9692,0.6832,HIGH,5616.03,True
TXN_000845,1386.43,bank_declined,NetBanking,1,0.3404,0.4004,MEDIUM,1386.43,True
TXN_000848,1361.47,authentication_failure,Card,1,0.4267,0.502,MEDIUM,1361.47,True
TXN_000854,1945.92,bank_declined,UPI,1,0.3404,0.4748,MEDIUM,1945.92,True
TXN_000863,1495.58,expired_card,Card,1,0.9841,0.6465,HIGH,1495.58,True
TXN_000875,2522.64,bank_timeout,UPI,1,0.5,0.5621,MEDIUM,2522.64,True
TXN_000876,5225.16,bank_declined,Card,1,0.6667,0.5856,MEDIUM,5225.16,True
TXN_000877,3564.49,bank_declined,Card,2,0.2857,0.3363,MEDIUM,3564.49,True
TXN_000881,1506.8,bank_declined,Card,1,0.8378,0.6207,HIGH,1506.8,True
TXN_000886,1191.16,bank_timeout,UPI,3,0.6125,0.466,MEDIUM,1191.16,False
TXN_000887,1816.44,bank_timeout,NetBanking,1,0.6667,0.6078,HIGH,1816.44,True
TXN_000888,1808.3,authentication_failure,UPI,1,0.8043,0.619,HIGH,1808.3,True
TXN_000890,906.92,bank_timeout,UPI,1,0.9167,0.6738,HIGH,906.92,True
TXN_000895,1690.41,network_error,UPI,1,0.3,0.4908,MEDIUM,1690.41,True
TXN_000898,1786.58,authentication_failure,UPI,1,0.3571,0.4847,MEDIUM,1786.58,True
TXN_000903,850.9,bank_declined,NetBanking,3,0.7042,0.4532,MEDIUM,850.9,False
TXN_000904,1094.69,bank_timeout,UPI,1,0.8442,0.6545,HIGH,1094.69,True
TXN_000910,3706.02,bank_timeout,UPI,1,0.9219,0.6236,HIGH,3706.02,True
TXN_000914,936.89,authentication_failure,Card,1,0.3875,0.4854,MEDIUM,936.89,True
TXN_000917,1758.56,expired_card,Card,1,0.85,0.5384,MEDIUM,1758.56,True
TXN_000919,1489.04,network_error,NetBanking,1,0.4444,0.5325,MEDIUM,1489.04,True
TXN_000921,4316.37,authentication_failure,Card,1,0.7778,0.5524,MEDIUM,4316.37,True
TXN_000922,1811.92,network_error,UPI,2,0.8194,0.5176,MEDIUM,1811.92,True
TXN_000923,2830.31,bank_timeout,NetBanking,1,0.3913,0.5309,MEDIUM,2830.31,True
TXN_000926,1139.27,authentication_failure,Card,1,0.3284,0.4702,MEDIUM,1139.27,True
TXN_000929,5015.65,authentication_failure,Card,1,0.3571,0.4981,MEDIUM,5015.65,True
TXN_000931,951.05,insufficient_funds,Wallet,1,0.9153,0.6289,HIGH,951.05,True
TXN_000933,4396.21,expired_card,Card,1,0.6471,0.5594,MEDIUM,4396.21,True
TXN_000935,1604.3,authentication_failure,UPI,1,0.8919,0.6437,HIGH,1604.3,True
TXN_000938,4473.81,authentication_failure,UPI,1,0.625,0.577,MEDIUM,4473.81,True
TXN_000941,1107.32,bank_declined,Wallet,1,0.625,0.5528,MEDIUM,1107.32,True
TXN_000946,482.68,bank_declined,NetBanking,2,0.9259,0.5723,MEDIUM,482.68,True
TXN_000949,2840.07,network_error,UPI,1,0.8571,0.6647,HIGH,2840.07,True
TXN_000951,2829.25,network_error,UPI,1,0.3607,0.5158,MEDIUM,2829.25,True
TXN_000957,4525.74,authentication_failure,UPI,2,0.6341,0.5199,MEDIUM,4525.74,True
TXN_000958,1357.6,bank_declined,UPI,2,0.8966,0.577,MEDIUM,1357.6,True
TXN_000960,3954.45,network_error,Wallet,1,0.4423,0.5446,MEDIUM,3954.45,True
TXN_000961,4068.09,network_error,NetBanking,1,0.7333,0.6323,HIGH,4068.09,True
TXN_000964,1206.1,insufficient_funds,Card,2,0.3333,0.3974,MEDIUM,1206.1,True
TXN_000966,7700.71,bank_timeout,UPI,1,0.7273,0.6448,HIGH,7700.71,True
TXN_000972,1208.75,network_error,Wallet,1,0.3333,0.4965,MEDIUM,1208.75,True
