transaction_id,amount,failure_reason,attempt_number,risk_score,risk_level,root_cause,cause_category,cause_nature,root_cause_confidence,recovery_direction,recovery_probability,decision,decision_confidence,status,recovered_amount,escalation_required,escalation_reason,action_count
TXN_000080,6005.0,bank_declined,3,0.534,MEDIUM,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.94,alternate_payment,0.1582,alternate_payment,0.95,recovery_failed,0.0,False,Alternate payment attempt failed.,6
TXN_000085,3954.26,bank_declined,1,0.6771,HIGH,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment,0.6555,alternate_payment,0.92,recovered,3954.26,False,,6
TXN_000087,2521.82,bank_declined,1,0.5141,MEDIUM,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment,0.4011,alternate_payment,0.92,recovery_failed,0.0,False,Alternate payment attempt failed.,6
TXN_000092,314.23,insufficient_funds,1,0.5161,MEDIUM,Insufficient customer funds,CUSTOMER_FUNDS,potentially_persistent,0.94,alternate_payment,0.2544,stop,0.88,stopped,0.0,False,Low recovery probability combined with a payment-instrument issue.,5
TXN_000093,16816.11,network_error,1,0.5808,MEDIUM,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry,0.7017,retry_later,0.82,retry_scheduled,0.0,False,,6
TXN_000094,2403.28,bank_timeout,2,0.5514,MEDIUM,Bank or issuer timeout,BANK_OR_NETWORK,potentially_persistent,0.92,retry,0.4922,send_reminder,0.76,awaiting_customer_action,0.0,False,,6
TXN_000101,3466.08,network_error,1,0.5982,MEDIUM,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry,0.7033,retry_later,0.82,retry_scheduled,0.0,False,,6
TXN_000103,3918.45,authentication_failure,1,0.6664,HIGH,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action,0.6573,send_reminder,0.86,awaiting_customer_action,0.0,False,,6
TXN_000108,754.44,bank_timeout,1,0.5701,MEDIUM,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry,0.8626,retry_now,0.9,recovered,754.44,False,,6
TXN_000109,2542.01,insufficient_funds,1,0.473,MEDIUM,Insufficient customer funds,CUSTOMER_FUNDS,potentially_persistent,0.94,alternate_payment,0.2227,stop,0.88,stopped,0.0,False,Low recovery probability combined with a payment-instrument issue.,5
TXN_000110,2966.57,bank_declined,1,0.4701,MEDIUM,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment,0.4228,alternate_payment,0.92,recovery_failed,0.0,False,Alternate payment attempt failed.,6
TXN_000118,2481.73,authentication_failure,1,0.6703,HIGH,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action,0.6257,send_reminder,0.86,awaiting_customer_action,0.0,False,,6
TXN_000119,890.58,network_error,1,0.6875,HIGH,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry,0.848,retry_now,0.9,recovered,890.58,False,,6
TXN_000120,1807.76,network_error,2,0.5989,MEDIUM,Payment network connectivity failure,BANK_OR_NETWORK,potentially_persistent,0.9,retry,0.5905,retry_later,0.82,retry_scheduled,0.0,False,,6
TXN_000125,3635.77,bank_declined,1,0.489,MEDIUM,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment,0.3817,stop,0.88,stopped,0.0,False,Low recovery probability combined with a payment-instrument issue.,5
TXN_000127,1083.47,authentication_failure,1,0.6249,HIGH,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action,0.5898,send_reminder,0.86,awaiting_customer_action,0.0,False,,6
TXN_000130,3544.27,network_error,3,0.5632,MEDIUM,Payment network connectivity failure,BANK_OR_NETWORK,persistent,0.93,escalate,0.3372,stop,0.96,stopped,0.0,False,Maximum automated retry threshold has been reached.,5
TXN_000131,2296.72,network_error,1,0.6632,HIGH,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry,0.7879,retry_now,0.9,recovered,2296.72,False,,6
TXN_000133,1251.23,insufficient_funds,1,0.4502,MEDIUM,Insufficient customer funds,CUSTOMER_FUNDS,potentially_persistent,0.94,alternate_payment,0.1966,stop,0.88,stopped,0.0,False,Low recovery probability combined with a payment-instrument issue.,5
TXN_000134,674.43,network_error,1,0.661,HIGH,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry,0.8175,retry_now,0.9,recovered,674.43,False,,6
TXN_000135,12318.84,authentication_failure,2,0.5827,MEDIUM,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action,0.277,stop,0.84,stopped,0.0,False,Low recovery probability and customer action is required.,5
TXN_000136,2096.38,expired_card,1,0.5357,MEDIUM,Payment card has expired,PAYMENT_INSTRUMENT,persistent,0.98,alternate_payment,0.2785,stop,0.88,stopped,0.0,False,Low recovery probability combined with a payment-instrument issue.,5
TXN_000142,1971.75,bank_declined,1,0.6537,HIGH,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment,0.5501,alternate_payment,0.92,recovered,1971.75,False,,6
TXN_000144,679.6,bank_declined,1,0.6054,HIGH,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment,0.6108,alternate_payment,0.92,recovered,679.6,False,,6
TXN_000149,3431.35,insufficient_funds,1,0.5746,MEDIUM,Insufficient customer funds,CUSTOMER_FUNDS,potentially_persistent,0.94,alternate_payment,0.2978,stop,0.88,stopped,0.0,False,Low recovery probability combined with a payment-instrument issue.,5
TXN_000155,867.3,bank_declined,2,0.4572,MEDIUM,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment,0.2554,stop,0.88,stopped,0.0,False,Low recovery probability combined with a payment-instrument issue.,5
TXN_000156,3561.46,authentication_failure,2,0.4661,MEDIUM,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action,0.2228,stop,0.84,stopped,0.0,False,Low recovery probability and customer action is required.,5
TXN_000160,897.55,authentication_failure,1,0.3909,MEDIUM,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action,0.353,stop,0.84,stopped,0.0,False,Low recovery probability and customer action is required.,5
TXN_000161,4943.69,bank_timeout,1,0.5593,MEDIUM,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry,0.6749,retry_later,0.82,retry_scheduled,0.0,False,,6
TXN_000164,1720.94,expired_card,1,0.5406,MEDIUM,Payment card has expired,PAYMENT_INSTRUMENT,persistent,0.98,alternate_payment,0.239,stop,0.88,stopped,0.0,False,Low recovery probability combined with a payment-instrument issue.,5
TXN_000169,4426.45,bank_timeout,1,0.6701,HIGH,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry,0.8403,retry_now,0.9,recovered,4426.45,False,,6
TXN_000172,7598.32,insufficient_funds,1,0.6703,HIGH,Insufficient customer funds,CUSTOMER_FUNDS,potentially_persistent,0.94,alternate_payment,0.4188,alternate_payment,0.92,recovery_failed,0.0,False,Alternate payment attempt failed.,6
TXN_000173,548.27,expired_card,1,0.4473,MEDIUM,Payment card has expired,PAYMENT_INSTRUMENT,persistent,0.98,alternate_payment,0.181,stop,0.88,stopped,0.0,False,Low recovery probability combined with a payment-instrument issue.,5
TXN_000178,926.17,bank_timeout,1,0.606,HIGH,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry,0.8243,retry_now,0.9,recovered,926.17,False,,6
TXN_000183,2656.37,network_error,1,0.4812,MEDIUM,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry,0.7091,retry_later,0.82,retry_scheduled,0.0,False,,6
TXN_000190,2097.92,network_error,1,0.6697,HIGH,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry,0.8051,retry_now,0.9,recovered,2097.92,False,,6
TXN_000191,2203.85,network_error,1,0.6025,HIGH,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry,0.7684,retry_now,0.9,recovered,2203.85,False,,6
TXN_000193,2417.11,bank_timeout,1,0.7075,CRITICAL,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry,0.8329,retry_now,0.9,recovered,2417.11,False,,6
TXN_000197,303.88,bank_declined,1,0.6485,HIGH,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment,0.6976,alternate_payment,0.92,recovered,303.88,False,,6
TXN_000199,3372.59,bank_declined,1,0.4814,MEDIUM,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment,0.3871,stop,0.88,stopped,0.0,False,Low recovery probability combined with a payment-instrument issue.,5
TXN_000202,6336.02,authentication_failure,1,0.607,HIGH,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action,0.5114,send_reminder,0.86,awaiting_customer_action,0.0,False,,6
TXN_000203,3151.78,bank_declined,1,0.499,MEDIUM,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment,0.3924,stop,0.88,stopped,0.0,False,Low recovery probability combined with a payment-instrument issue.,5
TXN_000212,973.57,bank_timeout,2,0.4709,MEDIUM,Bank or issuer timeout,BANK_OR_NETWORK,potentially_persistent,0.92,retry,0.4537,send_reminder,0.76,awaiting_customer_action,0.0,False,,6
TXN_000214,613.61,expired_card,2,0.5314,MEDIUM,Payment card has expired,PAYMENT_INSTRUMENT,persistent,0.98,alternate_payment,0.1369,stop,0.88,stopped,0.0,False,Low recovery probability combined with a payment-instrument issue.,5
TXN_000218,3532.1,bank_declined,1,0.6804,HIGH,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment,0.5898,alternate_payment,0.92,recovered,3532.1,False,,6
TXN_000221,7615.16,bank_declined,1,0.5982,MEDIUM,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment,0.6141,alternate_payment,0.92,recovered,7615.16,False,,6
TXN_000224,1278.43,bank_declined,3,0.3511,MEDIUM,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.94,alternate_payment,0.0743,alternate_payment,0.95,recovery_failed,0.0,False,Alternate payment attempt failed.,6
TXN_000237,2107.89,insufficient_funds,2,0.5954,MEDIUM,Insufficient customer funds,CUSTOMER_FUNDS,potentially_persistent,0.94,alternate_payment,0.22,stop,0.88,stopped,0.0,False,Low recovery probability combined with a payment-instrument issue.,5
TXN_000243,4157.79,network_error,2,0.6137,HIGH,Payment network connectivity failure,BANK_OR_NETWORK,potentially_persistent,0.9,retry,0.5581,retry_later,0.82,retry_scheduled,0.0,False,,6
TXN_000245,1489.5,network_error,2,0.4795,MEDIUM,Payment network connectivity failure,BANK_OR_NETWORK,potentially_persistent,0.9,retry,0.4917,send_reminder,0.76,awaiting_customer_action,0.0,False,,6
TXN_000246,1012.2,network_error,1,0.5672,MEDIUM,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry,0.7516,retry_now,0.9,recovered,1012.2,False,,6
TXN_000247,4551.21,network_error,1,0.6018,HIGH,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry,0.7234,retry_later,0.82,retry_scheduled,0.0,False,,6
TXN_000248,9316.98,authentication_failure,2,0.5855,MEDIUM,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action,0.2795,stop,0.84,stopped,0.0,False,Low recovery probability and customer action is required.,5
TXN_000253,4813.99,bank_timeout,1,0.6642,HIGH,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry,0.8409,retry_now,0.9,recovered,4813.99,False,,6
TXN_000254,2304.73,bank_declined,1,0.569,MEDIUM,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment,0.4512,alternate_payment,0.92,recovery_failed,0.0,False,Alternate payment attempt failed.,6
TXN_000256,4975.63,expired_card,1,0.4751,MEDIUM,Payment card has expired,PAYMENT_INSTRUMENT,persistent,0.98,alternate_payment,0.1965,stop,0.88,stopped,0.0,False,Low recovery probability combined with a payment-instrument issue.,5
TXN_000258,2539.74,bank_timeout,2,0.6053,HIGH,Bank or issuer timeout,BANK_OR_NETWORK,potentially_persistent,0.92,retry,0.6221,retry_later,0.82,retry_scheduled,0.0,False,,6
TXN_000260,4268.69,insufficient_funds,1,0.5696,MEDIUM,Insufficient customer funds,CUSTOMER_FUNDS,potentially_persistent,0.94,alternate_payment,0.3783,stop,0.88,stopped,0.0,False,Low recovery probability combined with a payment-instrument issue.,5
TXN_000262,1602.26,authentication_failure,2,0.4639,MEDIUM,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action,0.2004,stop,0.84,stopped,0.0,False,Low recovery probability and customer action is required.,5
TXN_000263,5870.66,bank_declined,1,0.4084,MEDIUM,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment,0.3605,stop,0.88,stopped,0.0,False,Low recovery probability combined with a payment-instrument issue.,5
TXN_000266,1783.6,network_error,1,0.594,MEDIUM,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry,0.751,retry_now,0.9,recovered,1783.6,False,,6
TXN_000268,4216.9,bank_timeout,2,0.6381,HIGH,Bank or issuer timeout,BANK_OR_NETWORK,potentially_persistent,0.92,retry,0.6637,retry_later,0.82,retry_scheduled,0.0,False,,6
TXN_000269,6435.31,bank_timeout,1,0.5158,MEDIUM,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry,0.7764,retry_now,0.9,recovered,6435.31,False,,6
TXN_000270,1816.34,bank_declined,1,0.5018,MEDIUM,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment,0.3449,stop,0.88,stopped,0.0,False,Low recovery probability combined with a payment-instrument issue.,5
TXN_000274,827.05,bank_declined,1,0.6615,HIGH,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment,0.6696,alternate_payment,0.92,recovered,827.05,False,,6
TXN_000275,5944.08,authentication_failure,2,0.424,MEDIUM,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action,0.1593,stop,0.84,stopped,0.0,False,Low recovery probability and customer action is required.,5
TXN_000280,6559.37,authentication_failure,3,0.4545,MEDIUM,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.91,customer_action,0.0782,stop,0.96,stopped,0.0,False,Maximum automated retry threshold has been reached.,5
TXN_000286,1830.21,bank_timeout,2,0.5179,MEDIUM,Bank or issuer timeout,BANK_OR_NETWORK,potentially_persistent,0.92,retry,0.6616,retry_later,0.82,retry_scheduled,0.0,False,,6
TXN_000289,1128.89,bank_declined,1,0.5292,MEDIUM,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment,0.4692,alternate_payment,0.92,recovery_failed,0.0,False,Alternate payment attempt failed.,6
TXN_000296,4974.89,bank_timeout,2,0.6609,HIGH,Bank or issuer timeout,BANK_OR_NETWORK,potentially_persistent,0.92,retry,0.7496,retry_later,0.82,retry_scheduled,0.0,False,,6
TXN_000297,557.27,authentication_failure,1,0.5788,MEDIUM,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action,0.5654,send_reminder,0.86,awaiting_customer_action,0.0,False,,6
TXN_000301,765.31,authentication_failure,1,0.5832,MEDIUM,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action,0.4884,stop,0.84,stopped,0.0,False,Low recovery probability and customer action is required.,5
TXN_000311,862.93,network_error,1,0.6512,HIGH,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry,0.8348,retry_now,0.9,recovered,862.93,False,,6
TXN_000312,4670.95,authentication_failure,1,0.5842,MEDIUM,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action,0.5112,send_reminder,0.86,awaiting_customer_action,0.0,False,,6
TXN_000313,4698.61,bank_timeout,1,0.5916,MEDIUM,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry,0.7147,retry_later,0.82,retry_scheduled,0.0,False,,6
TXN_000314,994.23,network_error,2,0.4327,MEDIUM,Payment network connectivity failure,BANK_OR_NETWORK,potentially_persistent,0.9,retry,0.5558,retry_later,0.82,retry_scheduled,0.0,False,,6
TXN_000315,5508.95,authentication_failure,2,0.4222,MEDIUM,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action,0.1451,stop,0.84,stopped,0.0,False,Low recovery probability and customer action is required.,5
TXN_000320,5641.21,network_error,1,0.5466,MEDIUM,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry,0.7437,retry_later,0.82,retry_scheduled,0.0,False,,6
TXN_000321,2031.41,bank_declined,2,0.4118,MEDIUM,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment,0.1496,stop,0.88,stopped,0.0,False,Low recovery probability combined with a payment-instrument issue.,5
TXN_000322,717.03,network_error,1,0.5201,MEDIUM,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry,0.6551,retry_later,0.82,retry_scheduled,0.0,False,,6
TXN_000328,1079.52,authentication_failure,2,0.3515,MEDIUM,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action,0.1911,stop,0.84,stopped,0.0,False,Low recovery probability and customer action is required.,5
TXN_000329,2122.85,bank_declined,1,0.6224,HIGH,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment,0.5895,alternate_payment,0.92,recovered,2122.85,False,,6
TXN_000334,675.02,bank_timeout,1,0.508,MEDIUM,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry,0.6497,retry_later,0.82,retry_scheduled,0.0,False,,6
TXN_000336,868.0,bank_declined,1,0.5759,MEDIUM,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment,0.5242,alternate_payment,0.92,recovered,868.0,False,,6
TXN_000337,1632.1,network_error,1,0.6583,HIGH,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry,0.7875,retry_now,0.9,recovered,1632.1,False,,6
TXN_000343,1254.56,bank_timeout,1,0.6823,HIGH,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry,0.8678,retry_now,0.9,recovered,1254.56,False,,6
TXN_000352,4421.11,bank_timeout,2,0.5776,MEDIUM,Bank or issuer timeout,BANK_OR_NETWORK,potentially_persistent,0.92,retry,0.6311,retry_later,0.82,retry_scheduled,0.0,False,,6
TXN_000355,4963.33,bank_declined,2,0.5285,MEDIUM,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment,0.2859,stop,0.88,stopped,0.0,False,Low recovery probability combined with a payment-instrument issue.,5
TXN_000358,2064.31,bank_declined,2,0.609,HIGH,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment,0.3286,stop,0.88,stopped,0.0,False,Low recovery probability combined with a payment-instrument issue.,5
TXN_000359,16172.99,bank_declined,1,0.5657,MEDIUM,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment,0.4143,alternate_payment,0.92,recovery_failed,0.0,False,Alternate payment attempt failed.,6
TXN_000362,4347.04,bank_timeout,1,0.6361,HIGH,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry,0.8182,retry_now,0.9,recovered,4347.04,False,,6
TXN_000363,7805.69,bank_timeout,1,0.6209,HIGH,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry,0.7691,retry_now,0.9,recovered,7805.69,False,,6
TXN_000371,1790.58,bank_declined,1,0.6674,HIGH,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment,0.6467,alternate_payment,0.92,recovered,1790.58,False,,6
TXN_000372,2490.68,insufficient_funds,1,0.6507,HIGH,Insufficient customer funds,CUSTOMER_FUNDS,potentially_persistent,0.94,alternate_payment,0.4221,alternate_payment,0.92,recovery_failed,0.0,False,Alternate payment attempt failed.,6
TXN_000378,4677.71,bank_timeout,1,0.5915,MEDIUM,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry,0.7268,retry_later,0.82,retry_scheduled,0.0,False,,6
TXN_000381,3203.63,expired_card,1,0.4924,MEDIUM,Payment card has expired,PAYMENT_INSTRUMENT,persistent,0.98,alternate_payment,0.1886,stop,0.88,stopped,0.0,False,Low recovery probability combined with a payment-instrument issue.,5
TXN_000382,5295.16,authentication_failure,1,0.4629,MEDIUM,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action,0.3755,stop,0.84,stopped,0.0,False,Low recovery probability and customer action is required.,5
TXN_000387,6606.07,bank_timeout,1,0.5746,MEDIUM,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry,0.7568,retry_now,0.9,recovered,6606.07,False,,6
TXN_000391,3786.16,network_error,1,0.4013,MEDIUM,Payment network connectivity failure,BANK_OR_NETWORK,temporary,0.9,retry,0.5766,retry_later,0.82,retry_scheduled,0.0,False,,6
TXN_000395,413.46,bank_timeout,1,0.5254,MEDIUM,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry,0.7699,retry_now,0.9,recovered,413.46,False,,6
TXN_000397,2807.84,authentication_failure,2,0.4426,MEDIUM,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.88,customer_action,0.1848,stop,0.84,stopped,0.0,False,Low recovery probability and customer action is required.,5
TXN_000401,3590.87,bank_timeout,1,0.6979,HIGH,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry,0.8609,retry_now,0.9,recovered,3590.87,False,,6
TXN_000403,12647.75,bank_declined,1,0.4808,MEDIUM,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment,0.3048,stop,0.88,stopped,0.0,False,Low recovery probability combined with a payment-instrument issue.,5
TXN_000405,1163.16,bank_timeout,1,0.4838,MEDIUM,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry,0.6464,retry_later,0.82,retry_scheduled,0.0,False,,6
TXN_000413,1383.45,authentication_failure,3,0.3895,MEDIUM,Payment authentication failed,AUTHENTICATION,potentially_persistent,0.91,customer_action,0.079,stop,0.96,stopped,0.0,False,Maximum automated retry threshold has been reached.,5
TXN_000415,1906.86,bank_timeout,1,0.532,MEDIUM,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry,0.7087,retry_later,0.82,retry_scheduled,0.0,False,,6
TXN_000416,3450.82,bank_timeout,1,0.6226,HIGH,Bank or issuer timeout,BANK_OR_NETWORK,temporary,0.92,retry,0.7834,retry_now,0.9,recovered,3450.82,False,,6
TXN_000420,686.23,bank_declined,1,0.6369,HIGH,Bank declined the payment,BANK_DECLINE,potentially_persistent,0.91,alternate_payment,0.6184,alternate_payment,0.92,recovered,686.23,False,,6
